Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Sisters Lake,Oneida,1588200,NO,44,,443391,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190289,05/31/1986,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190289,06/28/1986,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,
8190289,07/20/1986,15.75,NO,4.8,,,37,,,,,CLEAR,BLUE,
8190289,07/26/1986,16.25,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190289,08/03/1986,14.25,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190289,08/09/1986,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190289,09/13/1986,13.25,NO,4,,,40,,,,,,BROWN,
8190289,05/02/1987,12.25,NO,3.7,,,41,,,LOW,,,GREEN,
8190289,06/07/1987,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,
8190289,06/28/1987,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,
8190289,07/18/1987,22.5,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,07/26/1987,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,
8190289,08/08/1987,27.25,NO,8.3,,,30,,,,,CLEAR,BLUE,
8190289,09/05/1987,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,09/27/1987,20.5,NO,6.2,,,34,,,,,CLEAR,BLUE,
25933083,08/31/2016,,,,1.29,12,,47,37,,,,,
25933083,04/22/2017,,,,,20.4,,52,,,,,,
132791624,04/24/2017,10.1,NO,3.1,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
132791604,07/17/2017,14.8,NO,4.5,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132791604,08/24/2017,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/04/2001,3,FEET,58,DEGREES F,9,MG/L
06/04/2001,6,FEET,58,DEGREES F,10,MG/L
06/04/2001,9,FEET,58,DEGREES F,10,MG/L
06/04/2001,12,FEET,58,DEGREES F,10,MG/L
06/04/2001,15,FEET,58,DEGREES F,10,MG/L
06/04/2001,20,FEET,56,DEGREES F,10,MG/L
06/04/2001,30,FEET,48,DEGREES F,11,MG/L
06/04/2001,40,FEET,44,DEGREES F,2,MG/L
06/04/2001,50,FEET,43,DEGREES F,0,MG/L
06/29/2001,3,FEET,75,DEGREES F,8,MG/L
06/29/2001,6,FEET,74,DEGREES F,8,MG/L
06/29/2001,9,FEET,74,DEGREES F,8,MG/L
06/29/2001,12,FEET,74,DEGREES F,8,MG/L
06/29/2001,15,FEET,68,DEGREES F,9,MG/L
06/29/2001,20,FEET,61,DEGREES F,10,MG/L
06/29/2001,30,FEET,49,DEGREES F,9,MG/L
06/29/2001,40,FEET,45,DEGREES F,1,MG/L
06/29/2001,50,FEET,44,DEGREES F,0,MG/L
07/31/2001,3,FEET,23,C,8,MG/L
07/31/2001,6,FEET,23,C,7,MG/L
07/31/2001,9,FEET,23,C,8,MG/L
07/31/2001,12,FEET,22,C,8,MG/L
07/31/2001,15,FEET,22,C,8,MG/L
07/31/2001,20,FEET,22,C,7,MG/L
07/31/2001,30,FEET,11,C,9,MG/L
07/31/2001,40,FEET,8,C,0,MG/L
07/31/2001,50,FEET,7,C,0,MG/L
08/17/2001,3,FEET,21,C,8,MG/L
08/17/2001,6,FEET,22,C,8,MG/L
08/17/2001,9,FEET,22,C,8,MG/L
08/17/2001,12,FEET,22,C,8,MG/L
08/17/2001,15,FEET,22,C,8,MG/L
08/17/2001,20,FEET,22,C,8,MG/L
08/17/2001,30,FEET,12,C,9,MG/L
08/17/2001,40,FEET,8,C,1,MG/L
08/17/2001,50,FEET,7,C,0,MG/L
09/05/2001,3,FEET,20,C,8,MG/L
09/05/2001,6,FEET,20,C,8,MG/L
09/05/2001,9,FEET,20,C,8,MG/L
09/05/2001,12,FEET,20,C,8,MG/L
09/05/2001,15,FEET,20,C,8,MG/L
09/05/2001,20,FEET,20,C,8,MG/L
09/05/2001,30,FEET,14,C,9,MG/L
09/05/2001,40,FEET,9,C,1,MG/L
09/05/2001,50,FEET,7,C,0,MG/L
09/25/2001,3,FEET,16,C,9,MG/L
09/25/2001,6,FEET,16,C,9,MG/L
09/25/2001,9,FEET,16,C,9,MG/L
09/25/2001,12,FEET,16,C,9,MG/L
09/25/2001,15,FEET,16,C,9,MG/L
09/25/2001,20,FEET,16,C,9,MG/L
09/25/2001,30,FEET,14,C,8,MG/L
09/25/2001,40,FEET,9,C,1,MG/L
09/25/2001,50,FEET,8,C,0,MG/L
10/28/2001,3,FEET,9,C,9,MG/L
10/28/2001,6,FEET,8,C,9,MG/L
10/28/2001,9,FEET,8,C,9,MG/L
10/28/2001,12,FEET,8,C,9,MG/L
10/28/2001,15,FEET,8,C,9,MG/L
10/28/2001,20,FEET,8,C,9,MG/L
10/28/2001,30,FEET,8,C,9,MG/L
10/28/2001,40,FEET,8,C,9,MG/L
10/28/2001,50,FEET,8,C,9,MG/L
05/31/2002,3,FEET,62,DEGREES F,,
05/31/2002,6,FEET,61,DEGREES F,,
05/31/2002,9,FEET,59,DEGREES F,,
05/31/2002,12,FEET,56,DEGREES F,,
05/31/2002,15,FEET,53,DEGREES F,,
05/31/2002,20,FEET,53,DEGREES F,,
05/31/2002,30,FEET,48,DEGREES F,,
05/31/2002,40,FEET,46,DEGREES F,,
05/31/2002,50,FEET,45,DEGREES F,,
06/16/2002,3,FEET,18,C,9,MG/L
06/16/2002,6,FEET,18,C,9,MG/L
06/16/2002,9,FEET,18,C,9,MG/L
06/16/2002,12,FEET,18,C,10,MG/L
06/16/2002,15,FEET,18,C,10,MG/L
06/16/2002,20,FEET,14,C,12,MG/L
06/16/2002,30,FEET,11,C,12,MG/L
06/16/2002,40,FEET,9,C,12,MG/L
06/16/2002,50,FEET,8,C,5,MG/L
06/29/2002,3,FEET,24,C,9,MG/L
06/29/2002,6,FEET,24,C,9,MG/L
06/29/2002,9,FEET,24,C,9,MG/L
06/29/2002,12,FEET,22,C,9,MG/L
06/29/2002,15,FEET,16,C,12,MG/L
06/29/2002,20,FEET,12,C,12,MG/L
06/29/2002,30,FEET,9,C,8,MG/L
06/29/2002,40,FEET,8,C,1,MG/L
06/29/2002,50,FEET,8,C,0,MG/L
07/19/2002,3,FEET,26,C,8,MG/L
07/19/2002,6,FEET,26,C,8,MG/L
07/19/2002,9,FEET,26,C,8,MG/L
07/19/2002,12,FEET,26,C,8,MG/L
07/19/2002,15,FEET,25,C,8,MG/L
07/19/2002,20,FEET,18,C,12,MG/L
07/19/2002,30,FEET,12,C,12,MG/L
07/19/2002,40,FEET,9,C,1,MG/L
07/19/2002,50,FEET,8,C,0,MG/L
08/07/2002,3,FEET,23,C,8,MG/L
08/07/2002,6,FEET,23,C,8,MG/L
08/07/2002,9,FEET,23,C,9,MG/L
08/07/2002,12,FEET,23,C,8,MG/L
08/07/2002,15,FEET,23,C,8,MG/L
08/07/2002,20,FEET,22,C,11,MG/L
08/07/2002,30,FEET,12,C,10,MG/L
08/07/2002,40,FEET,9,C,1,MG/L
08/07/2002,50,FEET,8,C,0,MG/L
08/20/2002,3,FEET,21,C,9,MG/L
08/20/2002,6,FEET,21,C,9,MG/L
08/20/2002,9,FEET,21,C,8,MG/L
08/20/2002,12,FEET,21,C,8,MG/L
08/20/2002,15,FEET,21,C,8,MG/L
08/20/2002,20,FEET,21,C,9,MG/L
08/20/2002,30,FEET,12,C,10,MG/L
08/20/2002,40,FEET,9,C,1,MG/L
08/20/2002,50,FEET,8,C,0,MG/L
08/31/2002,3,FEET,23,C,9,MG/L
08/31/2002,6,FEET,23,C,9,MG/L
08/31/2002,9,FEET,23,C,8,MG/L
08/31/2002,12,FEET,23,C,9,MG/L
08/31/2002,15,FEET,23,C,8,MG/L
08/31/2002,20,FEET,22,C,9,MG/L
08/31/2002,30,FEET,13,C,12,MG/L
08/31/2002,40,FEET,9,C,0,MG/L
08/31/2002,50,FEET,8,C,0,MG/L
09/17/2002,3,FEET,21,C,9,MG/L
09/17/2002,6,FEET,21,C,9,MG/L
09/17/2002,9,FEET,21,C,9,MG/L
09/17/2002,12,FEET,21,C,8,MG/L
09/17/2002,15,FEET,20,C,9,MG/L
09/17/2002,20,FEET,20,C,8,MG/L
09/17/2002,30,FEET,13,C,10,MG/L
09/17/2002,40,FEET,9,C,0,MG/L
09/17/2002,50,FEET,8,C,0,MG/L
10/01/2002,3,FEET,17,C,8,MG/L
10/01/2002,6,FEET,16,C,9,MG/L
10/01/2002,9,FEET,16,C,9,MG/L
10/01/2002,12,FEET,16,C,9,MG/L
10/01/2002,15,FEET,16,C,9,MG/L
10/01/2002,20,FEET,16,C,9,MG/L
10/01/2002,30,FEET,15,C,9,MG/L
10/01/2002,40,FEET,9,C,1,MG/L
10/01/2002,50,FEET,8,C,0,MG/L
10/11/2002,3,FEET,13,C,9,MG/L
10/11/2002,6,FEET,13,C,9,MG/L
10/11/2002,9,FEET,13,C,9,MG/L
10/11/2002,12,FEET,13,C,9,MG/L
10/11/2002,15,FEET,13,C,9,MG/L
10/11/2002,20,FEET,13,C,9,MG/L
10/11/2002,30,FEET,13,C,9,MG/L
10/11/2002,40,FEET,10,C,1,MG/L
10/11/2002,50,FEET,8,C,0,MG/L
05/02/2003,3,FEET,9,DEGREES C,10.4,MG/L
05/02/2003,6,FEET,8.8,DEGREES C,10.6,MG/L
05/02/2003,9,FEET,8.7,DEGREES C,10.5,MG/L
05/02/2003,12,FEET,8.1,DEGREES C,10.3,MG/L
05/02/2003,15,FEET,7.6,DEGREES C,10.6,MG/L
05/02/2003,20,FEET,7.2,DEGREES C,10.1,MG/L
05/02/2003,30,FEET,6.4,DEGREES C,9,MG/L
05/02/2003,40,FEET,5.7,DEGREES C,8,MG/L
05/02/2003,50,FEET,5.5,DEGREES C,7.2,MG/L
05/02/2003,56,FEET,5.3,DEGREES C,.1,MG/L
05/17/2003,3,FEET,13.2,DEGREES C,9.4,MG/L
05/17/2003,6,FEET,13.2,DEGREES C,9.6,MG/L
05/17/2003,9,FEET,12.7,DEGREES C,9.7,MG/L
05/17/2003,12,FEET,12.3,DEGREES C,9.8,MG/L
05/17/2003,15,FEET,,,9.5,MG/L
05/17/2003,20,FEET,,,10.2,MG/L
05/17/2003,30,FEET,8.4,DEGREES C,9.3,MG/L
05/17/2003,40,FEET,7.3,DEGREES C,6.2,MG/L
05/17/2003,50,FEET,6.4,DEGREES C,4.7,MG/L
05/17/2003,56,FEET,6.5,DEGREES C,.8,MG/L
06/02/2003,3,FEET,13.2,DEGREES C,9.4,MG/L
06/02/2003,6,FEET,13.2,DEGREES C,9.6,MG/L
06/02/2003,9,FEET,12.7,DEGREES C,9.7,MG/L
06/02/2003,12,FEET,12.3,DEGREES C,9.8,MG/L
06/02/2003,15,FEET,11.6,DEGREES C,9.5,MG/L
06/02/2003,20,FEET,9.5,DEGREES C,10.2,MG/L
06/02/2003,30,FEET,8.4,DEGREES C,9.3,MG/L
06/02/2003,40,FEET,7.3,DEGREES C,6.2,MG/L
06/02/2003,50,FEET,6.4,DEGREES C,4.7,MG/L
06/02/2003,56,FEET,6.5,DEGREES C,.8,MG/L
06/10/2003,3,FEET,17.1,DEGREES C,8.1,MG/L
06/10/2003,6,FEET,16.5,DEGREES C,7.8,MG/L
06/10/2003,9,FEET,16.3,DEGREES C,8.1,MG/L
06/10/2003,12,FEET,16.2,DEGREES C,8.2,MG/L
06/10/2003,15,FEET,16.1,DEGREES C,8.2,MG/L
06/10/2003,20,FEET,13.5,DEGREES C,9.3,MG/L
06/10/2003,30,FEET,8.8,DEGREES C,8.5,MG/L
06/10/2003,40,FEET,7,DEGREES C,.9,MG/L
06/10/2003,50,FEET,6.6,DEGREES C,.3,MG/L
06/10/2003,56,FEET,6.6,DEGREES C,.1,MG/L
06/19/2003,3,FEET,21.5,DEGREES C,8.7,MG/L
06/19/2003,6,FEET,21,DEGREES C,9.1,MG/L
06/19/2003,9,FEET,19,DEGREES C,9.7,MG/L
06/19/2003,12,FEET,18.8,DEGREES C,9.8,MG/L
06/19/2003,15,FEET,,,9.9,MG/L
06/19/2003,20,FEET,,,11.1,MG/L
06/19/2003,30,FEET,8.9,DEGREES C,7.9,MG/L
06/19/2003,40,FEET,7.2,DEGREES C,.7,MG/L
06/19/2003,50,FEET,6.8,DEGREES C,4,MG/L
06/19/2003,56,FEET,6.8,DEGREES C,.2,MG/L
07/01/2003,3,FEET,22.1,DEGREES C,8.6,MG/L
07/01/2003,6,FEET,21.5,DEGREES C,8.4,MG/L
07/01/2003,9,FEET,20.5,DEGREES C,8.5,MG/L
07/01/2003,12,FEET,20.1,DEGREES C,8.8,MG/L
07/01/2003,15,FEET,19.8,DEGREES C,8.8,MG/L
07/01/2003,20,FEET,15.9,DEGREES C,9.8,MG/L
07/01/2003,30,FEET,10.7,DEGREES C,11.5,MG/L
07/01/2003,40,FEET,7.7,DEGREES C,1.2,MG/L
07/01/2003,50,FEET,7,DEGREES C,.4,MG/L
07/01/2003,56,FEET,6.9,DEGREES C,.2,MG/L
07/13/2003,3,FEET,22,DEGREES C,8.6,MG/L
07/13/2003,6,FEET,21.9,DEGREES C,8.6,MG/L
07/13/2003,9,FEET,21.8,DEGREES C,8.7,MG/L
07/13/2003,12,FEET,21.7,DEGREES C,8.7,MG/L
07/13/2003,15,FEET,20.8,DEGREES C,8.8,MG/L
07/13/2003,20,FEET,16.8,DEGREES C,11.1,MG/L
07/13/2003,30,FEET,10.4,DEGREES C,10.7,MG/L
07/13/2003,40,FEET,7.6,DEGREES C,1.1,MG/L
07/13/2003,50,FEET,7,DEGREES C,.5,MG/L
07/13/2003,56,FEET,7,DEGREES C,.2,MG/L
07/29/2003,3,FEET,23.7,DEGREES C,8.6,MG/L
07/29/2003,6,FEET,23.5,DEGREES C,8.1,MG/L
07/29/2003,9,FEET,23.2,DEGREES C,8.4,MG/L
07/29/2003,12,FEET,22.9,DEGREES C,8.4,MG/L
07/29/2003,15,FEET,22.3,DEGREES C,8.6,MG/L
07/29/2003,20,FEET,20.7,DEGREES C,9.2,MG/L
07/29/2003,30,FEET,10.7,DEGREES C,11.1,MG/L
07/29/2003,40,FEET,8.2,DEGREES C,1,MG/L
07/29/2003,50,FEET,7.1,DEGREES C,.6,MG/L
07/29/2003,56,FEET,7.1,DEGREES C,.2,MG/L
08/14/2003,3,FEET,23.8,DEGREES C,8,MG/L
08/14/2003,6,FEET,23.7,DEGREES C,8.2,MG/L
08/14/2003,9,FEET,23.3,DEGREES C,8.1,MG/L
08/14/2003,12,FEET,23.1,DEGREES C,8.3,MG/L
08/14/2003,15,FEET,23,DEGREES C,8.3,MG/L
08/14/2003,20,FEET,22.5,DEGREES C,8.8,MG/L
08/14/2003,30,FEET,11.5,DEGREES C,8.8,MG/L
08/14/2003,40,FEET,8.4,DEGREES C,.5,MG/L
08/14/2003,50,FEET,7.1,DEGREES C,.2,MG/L
08/14/2003,56,FEET,7.1,DEGREES C,.1,MG/L
08/30/2003,3,FEET,71.6,DEGREES F,,
08/30/2003,6,FEET,71.4,DEGREES F,,
08/30/2003,9,FEET,71.4,DEGREES F,,
08/30/2003,12,FEET,71.2,DEGREES F,,
08/30/2003,15,FEET,71.2,DEGREES F,,
08/30/2003,20,FEET,70.8,DEGREES F,,
08/30/2003,30,FEET,53.6,DEGREES F,,
08/30/2003,40,FEET,46.4,DEGREES F,,
08/30/2003,50,FEET,44.7,DEGREES F,,
08/30/2003,56,FEET,44.4,DEGREES F,,
09/17/2003,3,FEET,19.9,C,9.1,MG/L
09/17/2003,6,FEET,19.8,C,9.2,MG/L
09/17/2003,9,FEET,19.8,C,8.8,MG/L
09/17/2003,12,FEET,19.8,C,9.1,MG/L
09/17/2003,15,FEET,19.8,C,9.1,MG/L
09/17/2003,20,FEET,19.8,C,8.9,MG/L
09/17/2003,30,FEET,12.5,C,7.4,MG/L
09/17/2003,40,FEET,8.7,C,.3,MG/L
09/17/2003,50,FEET,7.3,C,.1,MG/L
09/17/2003,56,FEET,7.3,C,0,MG/L
10/05/2003,3,FEET,12,C,9.7,MG/L
10/05/2003,6,FEET,11.6,C,9.7,MG/L
10/05/2003,9,FEET,11.4,C,9.4,MG/L
10/05/2003,12,FEET,11.4,C,9.5,MG/L
10/05/2003,15,FEET,11.4,C,9.5,MG/L
10/05/2003,20,FEET,11.3,C,9.6,MG/L
10/05/2003,30,FEET,11.3,C,9.2,MG/L
10/05/2003,40,FEET,10.6,C,5.5,MG/L
10/05/2003,50,FEET,7.3,C,.7,MG/L
10/05/2003,56,FEET,7.5,C,.2,MG/L
10/16/2003,3,FEET,11.5,DEGREES C,10.1,MG/L
10/16/2003,6,FEET,11.5,DEGREES C,10.1,MG/L
10/16/2003,9,FEET,11.5,DEGREES C,10.1,MG/L
10/16/2003,12,FEET,11.5,DEGREES C,10,MG/L
10/16/2003,15,FEET,11.5,DEGREES C,9.9,MG/L
10/16/2003,20,FEET,11.5,DEGREES C,10,MG/L
10/16/2003,30,FEET,11.4,DEGREES C,10.2,MG/L
10/16/2003,40,FEET,10.5,DEGREES C,3.2,MG/L
10/16/2003,50,FEET,,,.4,MG/L
10/29/2003,3,FEET,9,C,10.2,MG/L
10/29/2003,6,FEET,9,C,10.1,MG/L
10/29/2003,9,FEET,9,C,9.9,MG/L
10/29/2003,12,FEET,9,C,10,MG/L
10/29/2003,15,FEET,9,C,10.1,MG/L
10/29/2003,20,FEET,9,C,10,MG/L
10/29/2003,30,FEET,8.5,C,9.7,MG/L
10/29/2003,40,FEET,8.5,C,10.1,MG/L
10/29/2003,50,FEET,8.5,C,9.5,MG/L
10/29/2003,56,FEET,8.3,C,.4,MG/L
04/27/2004,3,FEET,42,DEGREES F,,
04/27/2004,6,FEET,41.9,DEGREES F,,
04/27/2004,9,FEET,41.5,DEGREES F,,
04/27/2004,12,FEET,41.3,DEGREES F,,
04/27/2004,15,FEET,41.3,DEGREES F,,
04/27/2004,20,FEET,41.3,DEGREES F,,
04/27/2004,30,FEET,41.3,DEGREES F,,
04/27/2004,40,FEET,41.3,DEGREES F,,
04/27/2004,50,FEET,41.1,DEGREES F,,
04/27/2004,56,FEET,41.1,DEGREES F,,
05/15/2004,3,FEET,12.1,DEGREES C,8.8,MG/L
05/15/2004,6,FEET,11.5,DEGREES C,8.8,MG/L
05/15/2004,9,FEET,11.2,DEGREES C,9.2,MG/L
05/15/2004,12,FEET,11.1,DEGREES C,9.2,MG/L
05/15/2004,15,FEET,11,DEGREES C,8.8,MG/L
05/15/2004,20,FEET,10,DEGREES C,9.7,MG/L
05/15/2004,30,FEET,8.1,DEGREES C,9.3,MG/L
05/15/2004,40,FEET,7,DEGREES C,7.9,MG/L
05/15/2004,50,FEET,6.6,DEGREES C,5.7,MG/L
05/15/2004,56,FEET,6.6,DEGREES C,.1,MG/L
06/06/2004,3,FEET,17.2,DEGREES C,7.6,MG/L
06/06/2004,6,FEET,16.5,DEGREES C,8.4,MG/L
06/06/2004,9,FEET,15.5,DEGREES C,8.2,MG/L
06/06/2004,12,FEET,14.6,DEGREES C,8.6,MG/L
06/06/2004,15,FEET,14.5,DEGREES C,8.6,MG/L
06/06/2004,20,FEET,13.5,DEGREES C,8.6,MG/L
06/06/2004,30,FEET,9.6,DEGREES C,9.7,MG/L
06/06/2004,40,FEET,7.2,DEGREES C,2.4,MG/L
06/06/2004,50,FEET,6.5,DEGREES C,1,MG/L
06/06/2004,56,FEET,7.1,DEGREES C,.1,MG/L
06/19/2004,3,FEET,18.6,DEGREES C,,
06/19/2004,6,FEET,18.6,DEGREES C,,
06/19/2004,9,FEET,18.6,DEGREES C,,
06/19/2004,12,FEET,18.7,DEGREES C,,
06/19/2004,15,FEET,18.6,DEGREES C,,
06/19/2004,20,FEET,16.4,DEGREES C,,
06/19/2004,30,FEET,11.5,DEGREES C,,
06/19/2004,40,FEET,8,DEGREES C,,
06/19/2004,50,FEET,7.1,DEGREES C,,
06/19/2004,56,FEET,7.1,DEGREES C,,
07/10/2004,3,FEET,19.5,DEGREES C,,
07/10/2004,6,FEET,18.5,DEGREES C,,
07/10/2004,9,FEET,18.7,DEGREES C,,
07/10/2004,12,FEET,18.5,DEGREES C,,
07/10/2004,15,FEET,18.4,DEGREES C,,
07/10/2004,20,FEET,18.1,DEGREES C,,
07/10/2004,30,FEET,15.4,DEGREES C,,
07/10/2004,40,FEET,9.1,DEGREES C,,
07/10/2004,50,FEET,7.6,DEGREES C,,
07/10/2004,56,FEET,7.3,DEGREES C,,
07/17/2004,3,FEET,70.8,DEGREES F,,
07/17/2004,6,FEET,70.8,DEGREES F,,
07/17/2004,9,FEET,70.5,DEGREES F,,
07/17/2004,12,FEET,69.6,DEGREES F,,
07/17/2004,15,FEET,68.5,DEGREES F,,
07/17/2004,20,FEET,66,DEGREES F,,
07/17/2004,30,FEET,52.8,DEGREES F,,
07/17/2004,40,FEET,46,DEGREES F,,
07/17/2004,50,FEET,45.3,DEGREES F,,
07/17/2004,56,FEET,44.7,DEGREES F,,
08/04/2004,3,FEET,23.1,DEGREES C,,
08/04/2004,6,FEET,22.5,DEGREES C,,
08/04/2004,9,FEET,22.6,DEGREES C,,
08/04/2004,12,FEET,22.7,DEGREES C,,
08/04/2004,15,FEET,22.5,DEGREES C,,
08/04/2004,20,FEET,21.2,DEGREES C,,
08/04/2004,30,FEET,12.7,DEGREES C,,
08/04/2004,40,FEET,8.5,DEGREES C,,
08/04/2004,50,FEET,7.5,DEGREES C,,
08/04/2004,56,FEET,7.6,DEGREES C,,
08/21/2004,3,FEET,65.3,DEGREES F,,
08/21/2004,6,FEET,65.1,DEGREES F,,
08/21/2004,9,FEET,65.1,DEGREES F,,
08/21/2004,12,FEET,64.9,DEGREES F,,
08/21/2004,15,FEET,64.7,DEGREES F,,
08/21/2004,20,FEET,64.7,DEGREES F,,
08/21/2004,30,FEET,59.3,DEGREES F,,
08/21/2004,40,FEET,48.9,DEGREES F,,
08/21/2004,50,FEET,46.2,DEGREES F,,
08/21/2004,56,FEET,45.5,DEGREES F,,
08/29/2004,3,FEET,18.5,DEGREES C,8.3,MG/L
08/29/2004,6,FEET,18.6,DEGREES C,8.1,MG/L
08/29/2004,9,FEET,18.7,DEGREES C,8.4,MG/L
08/29/2004,12,FEET,18.6,DEGREES C,8.7,MG/L
08/29/2004,15,FEET,18.6,DEGREES C,8.9,MG/L
08/29/2004,20,FEET,18.6,DEGREES C,9.2,MG/L
08/29/2004,30,FEET,13.2,DEGREES C,8.7,MG/L
08/29/2004,40,FEET,9.6,DEGREES C,2.5,MG/L
08/29/2004,50,FEET,7.5,DEGREES C,2.4,MG/L
08/29/2004,56,FEET,7.7,DEGREES C,1.8,MG/L
09/08/2004,3,FEET,18.4,DEGREES C,6.9,MG/L
09/08/2004,6,FEET,19,DEGREES C,7.4,MG/L
09/08/2004,9,FEET,19,DEGREES C,7.9,MG/L
09/08/2004,12,FEET,18.5,DEGREES C,8,MG/L
09/08/2004,15,FEET,19,DEGREES C,8.3,MG/L
09/08/2004,20,FEET,18.5,DEGREES C,8.4,MG/L
09/08/2004,30,FEET,15.3,DEGREES C,7.3,MG/L
09/08/2004,40,FEET,9.2,DEGREES C,2,MG/L
09/08/2004,50,FEET,8,DEGREES C,1.7,MG/L
09/08/2004,56,FEET,7.5,DEGREES C,1,MG/L
09/23/2004,3,FEET,66.5,DEGREES F,,
09/23/2004,6,FEET,66.3,DEGREES F,,
09/23/2004,9,FEET,66.3,DEGREES F,,
09/23/2004,12,FEET,66.3,DEGREES F,,
09/23/2004,15,FEET,66.3,DEGREES F,,
09/23/2004,20,FEET,66.2,DEGREES F,,
09/23/2004,30,FEET,61.5,DEGREES F,,
09/23/2004,40,FEET,49.2,DEGREES F,,
09/23/2004,50,FEET,47.1,DEGREES F,,
09/23/2004,56,FEET,46.7,DEGREES F,,
10/06/2004,3,FEET,57.9,DEGREES F,,
10/06/2004,6,FEET,57.9,DEGREES F,,
10/06/2004,9,FEET,57.9,DEGREES F,,
10/06/2004,12,FEET,57.9,DEGREES F,,
10/06/2004,15,FEET,57.9,DEGREES F,,
10/06/2004,20,FEET,57.7,DEGREES F,,
10/06/2004,30,FEET,57.2,DEGREES F,,
10/06/2004,40,FEET,49.2,DEGREES F,,
10/06/2004,50,FEET,46.7,DEGREES F,,
10/06/2004,56,FEET,46.2,DEGREES F,,
10/12/2004,3,FEET,56.6,DEGREES F,,
10/12/2004,6,FEET,56.4,DEGREES F,,
10/12/2004,9,FEET,56.3,DEGREES F,,
10/12/2004,12,FEET,56.3,DEGREES F,,
10/12/2004,15,FEET,56.1,DEGREES F,,
10/12/2004,20,FEET,56.1,DEGREES F,,
10/12/2004,30,FEET,55.9,DEGREES F,,
10/12/2004,40,FEET,51.2,DEGREES F,,
10/12/2004,50,FEET,46.4,DEGREES F,,
10/12/2004,56,FEET,46,DEGREES F,,
04/25/2005,3,FEET,7.4,DEGREES C,,
04/25/2005,6,FEET,7,DEGREES C,,
04/25/2005,9,FEET,6.5,DEGREES C,,
04/25/2005,12,FEET,6.6,DEGREES C,,
04/25/2005,15,FEET,6.6,DEGREES C,,
04/25/2005,20,FEET,6.7,DEGREES C,,
04/25/2005,30,FEET,5.5,DEGREES C,,
04/25/2005,40,FEET,5.1,DEGREES C,,
04/25/2005,50,FEET,4.5,DEGREES C,,
04/25/2005,56,FEET,4.7,DEGREES C,,
05/17/2005,3,FEET,10,DEGREES C,,
05/17/2005,6,FEET,9.6,DEGREES C,,
05/17/2005,9,FEET,9.7,DEGREES C,,
05/17/2005,12,FEET,9.7,DEGREES C,,
05/17/2005,15,FEET,9.2,DEGREES C,,
05/17/2005,20,FEET,9.1,DEGREES C,,
05/17/2005,30,FEET,8.5,DEGREES C,,
05/17/2005,40,FEET,6.5,DEGREES C,,
05/17/2005,50,FEET,6.5,DEGREES C,,
05/17/2005,56,FEET,6.2,DEGREES C,,
05/31/2005,3,FEET,16.2,DEGREES C,,
05/31/2005,6,FEET,15.4,DEGREES C,,
05/31/2005,9,FEET,14.6,DEGREES C,,
05/31/2005,12,FEET,14.1,DEGREES C,,
05/31/2005,15,FEET,13.4,DEGREES C,,
05/31/2005,20,FEET,11.4,DEGREES C,,
05/31/2005,30,FEET,8.6,DEGREES C,,
05/31/2005,40,FEET,7,DEGREES C,,
05/31/2005,50,FEET,6.7,DEGREES C,,
05/31/2005,56,FEET,6.6,DEGREES C,,
06/16/2005,3,FEET,20.7,DEGREES C,7,MG/L
06/16/2005,6,FEET,20.7,DEGREES C,7,MG/L
06/16/2005,9,FEET,20.6,DEGREES C,6.8,MG/L
06/16/2005,12,FEET,20.6,DEGREES C,6.8,MG/L
06/16/2005,15,FEET,20.1,DEGREES C,7,MG/L
06/16/2005,20,FEET,13.4,DEGREES C,9.4,MG/L
06/16/2005,30,FEET,9.5,DEGREES C,10.4,MG/L
06/16/2005,40,FEET,7.5,DEGREES C,5.2,MG/L
06/16/2005,50,FEET,7,DEGREES C,.8,MG/L
06/16/2005,56,FEET,6.6,DEGREES C,.5,MG/L
07/01/2005,3,FEET,22.2,DEGREES C,,
07/01/2005,6,FEET,22.2,DEGREES C,,
07/01/2005,9,FEET,22.1,DEGREES C,,
07/01/2005,12,FEET,22,DEGREES C,,
