Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tuttle Lake,Marquette,108200,NE,39,,393009,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/22/1977,,,,,20,,51,,,,,,
1,05/25/1977,13.1,,4,,,40,,,,,,,
1,08/15/1977,9.8,,3,,,44,,,,,,,
1,11/14/1977,16.4,,5,,,37,,,,,,,
1,08/14/1979,,,,8.69,8,,44,51,,,,,
8191007,06/13/1988,6,NO,1.8,,,51,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190284,06/26/1988,6,NO,1.8,,,51,,,DOWN 4" IN 2 WKS,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/03/1988,5.5,NO,1.7,,,53,,,DOWN .5" THIS WEEK,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/11/1988,6,NO,1.8,,,51,,,DOWN ANOTHER .5",,CLEAR,BLUE,
8190284,07/06/2002,7.25,NO,2.2,,,49,,,GAUGE,8.1,,GREEN,2-Very minor aesthetic problems
8190284,08/06/2002,,,,2.6,11,,47,42,,,,,
7000091,08/14/2002,,,,3.79,11,,47,45,,,,,
152607373,08/14/2002,6.9,NO,2.1,,,49,,,,,CLEAR,,2-Very minor aesthetic problems
8190284,04/22/2003,,,,,13,,48,,,,,,
7000091,04/09/2004,12.6,,3.8,,13,41,48,,,,,,
152607373,04/09/2004,12.6,NO,3.8,,,41,,,,,CLEAR,,2-Very minor aesthetic problems
7000066,09/03/2004,,,,2.92,9,,45,43,,,,,
1,04/25/2005,21.5,NO,6.5,,11,33,47,,,,,,
1,04/09/2006,,,,,9,,45,,,,,,
8190284,05/08/2007,,,,,16,,50,,,,,,
8190284,08/05/2007,,,,5.47,11,,47,48,,,,,
8190284,07/30/2009,,,,4.63,24,,53,46,,,,,
8190284,08/26/2009,,,,4.01,8,,44,45,,,,,
8190284,12/01/2009,,,,,13,,48,,,,,,
8190284,07/19/2010,,,,3.05,9,,45,43,,,,,
8190284,05/24/2011,,,,,12,,47,,,,,,
1,06/29/2011,,,,3.43,13,,48,44,,,,,
8190284,08/29/2011,,,,3.83,11,,47,45,,,,,
18137398,05/07/2013,18,NO,5.5,,,35,,,,,,,
18137398,06/14/2013,16,,4.9,,,37,,,,,,,
18137398,07/05/2013,15,,4.6,,,38,,,,,,,
18137398,09/25/2013,17,,5.2,,,36,,,,,,,
18137394,11/12/2013,,,,,11.5,,47,,,,,,
30398883,06/29/2015,,,,3.29,11,,47,44,,,,,
30398883,06/26/2017,,,,1.08,18.2,,51,35,,,,,
30398883,07/21/2017,,,,3.3,12.7,,48,44,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
02/22/1977,,,7,C,5.1,MG/L
05/25/1977,,,23,C,6.6,MG/L
08/15/1977,,,21,C,6.5,MG/L
11/14/1977,,,6,C,11,MG/L
08/14/1979,,,,,8.2,MG/L
05/16/1993,1,FEET,66,DEGREES F,,
05/16/1993,3,FEET,65,DEGREES F,,
05/16/1993,29,FEET,50,DEGREES F,,
06/27/1993,3,FEET,75,DEGREES F,,
06/27/1993,30,FEET,64,DEGREES F,,
08/21/1993,1,FEET,77,DEGREES F,,
08/21/1993,3,FEET,77,DEGREES F,,
08/21/1993,30,FEET,66,DEGREES F,,
10/31/1993,1,FEET,44,DEGREES F,,
10/31/1993,3,FEET,43,DEGREES F,,
10/31/1993,6,FEET,43,DEGREES F,,
10/31/1993,31,FEET,43,DEGREES F,,
06/12/1994,1,FEET,72,DEGREES F,,
06/12/1994,3,FEET,72,DEGREES F,,
06/12/1994,6,FEET,71,DEGREES F,,
06/12/1994,30,FEET,63,DEGREES F,,
07/10/1994,1,FEET,75,DEGREES F,,
07/10/1994,3,FEET,75,DEGREES F,,
07/10/1994,6,FEET,75,DEGREES F,,
07/10/1994,26,FEET,69,DEGREES F,,
08/14/1994,1,FEET,70,DEGREES F,,
08/14/1994,3,FEET,70,DEGREES F,,
08/14/1994,6,FEET,70,DEGREES F,,
08/14/1994,9,FEET,70,DEGREES F,,
08/14/1994,12,FEET,70,DEGREES F,,
08/14/1994,15,FEET,70,DEGREES F,,
08/14/1994,18,FEET,70,DEGREES F,,
08/14/1994,21,FEET,70,DEGREES F,,
08/14/1994,24,FEET,69,DEGREES F,,
08/14/1994,27,FEET,68,DEGREES F,,
08/14/1994,30,FEET,63,DEGREES F,,
10/16/1994,1,FEET,58,DEGREES F,,
10/16/1994,3,FEET,58,DEGREES F,,
10/16/1994,6,FEET,57,DEGREES F,,
10/16/1994,9,FEET,57,DEGREES F,,
10/16/1994,12,FEET,57,DEGREES F,,
10/16/1994,15,FEET,57,DEGREES F,,
10/16/1994,18,FEET,56,DEGREES F,,
10/16/1994,21,FEET,56,DEGREES F,,
10/16/1994,24,FEET,56,DEGREES F,,
10/16/1994,27,FEET,55,DEGREES F,,
10/16/1994,29,FEET,55,DEGREES F,,
04/23/1995,3,FEET,49,DEGREES F,,
04/23/1995,6,FEET,49,DEGREES F,,
04/23/1995,8,FEET,49,DEGREES F,,
04/23/1995,11,FEET,49,DEGREES F,,
04/23/1995,14,FEET,48,DEGREES F,,
04/23/1995,17,FEET,48,DEGREES F,,
04/23/1995,20,FEET,48,DEGREES F,,
04/23/1995,23,FEET,48,DEGREES F,,
04/23/1995,26,FEET,48,DEGREES F,,
04/23/1995,29,FEET,48,DEGREES F,,
04/23/1995,32,FEET,48,DEGREES F,,
07/15/1995,3,FEET,86,DEGREES F,,
07/15/1995,6,FEET,86,DEGREES F,,
07/15/1995,9,FEET,85,DEGREES F,,
07/15/1995,12,FEET,80,DEGREES F,,
07/15/1995,15,FEET,74,DEGREES F,,
07/15/1995,18,FEET,71,DEGREES F,,
07/15/1995,21,FEET,73,DEGREES F,,
07/15/1995,24,FEET,70,DEGREES F,,
07/15/1995,27,FEET,69,DEGREES F,,
07/15/1995,30,FEET,65,DEGREES F,,
08/26/1995,3,FEET,79,DEGREES F,,
08/26/1995,6,FEET,78,DEGREES F,,
08/26/1995,9,FEET,78,DEGREES F,,
08/26/1995,12,FEET,78,DEGREES F,,
08/26/1995,15,FEET,76,DEGREES F,,
08/26/1995,18,FEET,75,DEGREES F,,
08/26/1995,21,FEET,68,DEGREES F,,
08/26/1995,24,FEET,66,DEGREES F,,
08/26/1995,27,FEET,64,DEGREES F,,
08/26/1995,30,FEET,63,DEGREES F,,
08/26/1995,32,FEET,63,DEGREES F,,
11/05/1995,1,FEET,39,DEGREES F,,
11/05/1995,3,FEET,39,DEGREES F,,
11/05/1995,6,FEET,39,DEGREES F,,
11/05/1995,20,FEET,39,DEGREES F,,
11/05/1995,30,FEET,39,DEGREES F,,
04/21/1996,1,FEET,45,DEGREES F,,
04/21/1996,3,FEET,45,DEGREES F,,
04/21/1996,6,FEET,45,DEGREES F,,
04/21/1996,9,FEET,44,DEGREES F,,
04/21/1996,12,FEET,45,DEGREES F,,
04/21/1996,15,FEET,44,DEGREES F,,
04/21/1996,18,FEET,45,DEGREES F,,
04/21/1996,21,FEET,44,DEGREES F,,
04/21/1996,24,FEET,44,DEGREES F,,
04/21/1996,27,FEET,44,DEGREES F,,
04/21/1996,29,FEET,44,DEGREES F,,
08/25/1996,3,FEET,76,DEGREES F,,
08/25/1996,6,FEET,76,DEGREES F,,
08/25/1996,9,FEET,76,DEGREES F,,
08/25/1996,12,FEET,76,DEGREES F,,
08/25/1996,15,FEET,75,DEGREES F,,
08/25/1996,18,FEET,72,DEGREES F,,
08/25/1996,21,FEET,68,DEGREES F,,
08/25/1996,24,FEET,64,DEGREES F,,
08/25/1996,27,FEET,60,DEGREES F,,
08/25/1996,30,FEET,58,DEGREES F,,
08/25/1996,32,FEET,58,DEGREES F,,
03/29/2000,1,FEET,46,DEGREES F,,
03/29/2000,3,FEET,46,DEGREES F,,
03/29/2000,6,FEET,46,DEGREES F,,
03/29/2000,27,FEET,44,DEGREES F,,
11/17/2000,1,FEET,38,DEGREES F,,
11/17/2000,6,FEET,38,DEGREES F,,
07/06/2002,1,FEET,76,DEGREES F,,
07/06/2002,3,FEET,76,DEGREES F,,
07/06/2002,6,FEET,76,DEGREES F,,
07/06/2002,7,FEET,76,DEGREES F,,
07/06/2002,10,FEET,76,DEGREES F,,
07/06/2002,13,FEET,76,DEGREES F,,
07/06/2002,16,FEET,74,DEGREES F,,
07/06/2002,19,FEET,68,DEGREES F,,
07/06/2002,22,FEET,66,DEGREES F,,
07/06/2002,25,FEET,63,DEGREES F,,
08/14/2002,1,METERS,25.9,DEGREES C,8.8,MG/L
08/14/2002,2,METERS,25.9,DEGREES C,8.8,MG/L
08/14/2002,3,METERS,25.3,DEGREES C,8.9,MG/L
08/14/2002,4,METERS,24.7,DEGREES C,8.3,MG/L
08/14/2002,5,METERS,24.1,DEGREES C,6.3,MG/L
08/14/2002,6,METERS,20.9,DEGREES C,.9,MG/L
04/09/2004,0.5,METERS,10.2,DEGREES C,11.6,MG/L
04/09/2004,1,METERS,10.2,DEGREES C,11.6,MG/L
04/09/2004,1.5,METERS,10.2,DEGREES C,11.6,MG/L
04/09/2004,2,METERS,10.2,DEGREES C,11.6,MG/L
04/09/2004,2.5,METERS,10.1,DEGREES C,11.6,MG/L
04/09/2004,3,METERS,10.1,DEGREES C,11.6,MG/L
04/09/2004,3.5,METERS,10.1,DEGREES C,11.6,MG/L
04/09/2004,4,METERS,10.1,DEGREES C,11.5,MG/L
04/09/2004,4.5,METERS,10.1,DEGREES C,11.4,MG/L
04/09/2004,5,METERS,10.1,DEGREES C,11,MG/L
04/25/2005,,,10,C,,
05/07/2013,18,FEET,61,DEGREES F,,
06/14/2013,16,FEET,64,DEGREES F,,
07/05/2013,15,FEET,76,DEGREES F,,
09/25/2013,17,FEET,69,DEGREES F,,



Start Date,Fieldwork Comment
02/22/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
05/25/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/15/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
11/14/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/14/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
06/13/1988,Wind- heat wave    
07/17/1988,Moderate boating    
07/30/1988,Slight breeze    
09/05/1988,Cloudy- slight. breeze    
05/27/1989,Level measured from normal high water mark.    
06/17/1989,Water temperature. 6 ft. down 64 F    
06/24/1989,Water temperature. 77 F @ 6 ft.    
07/01/1989,Water temperature. 75 F 6 ft. down    
07/04/1989,Water temperature. @ 6 ft. 82 F- 4 days heavy boat traffic    
07/09/1989,Water temp. 79 F at 6 ft.    
07/15/1989,Water temp. 77 F @ 6 ft.    
07/22/1989,Slight wind- water temp. @ 6 ft. 77 F- collected water samples- will send results    
08/04/1989,Water temp. @ 6' 80 F- level down 1.25" in 2 weeks.    
08/19/1989,Water temp. @ 6 ft. 72 F    
08/27/1989,Water temp. @ 6 ft. 72 F- level dropped 1.5 in. in one week.    
09/02/1989,Water temp. @ 6 ft. 71 F    
09/24/1989,Water temp. 58 F @ 6 ft.- level down 2.5 in. in 3 weeks.    
09/30/1989,Water temp. @ 6 ft. 58 F    
10/07/1989,Cloudy- windy- water temp. 50 F @ 6 ft.    
10/15/1989,Water temp. 53 F @ 6 ft.    
10/22/1989,Water temp. @ 6 ft. 42 F    
11/04/1989,Overcast- water temp. @ 6 ft. 41 F    
04/26/1990,Water temp. @ 6 ft. 64 F    
05/12/1990,Overcast- water temp. @ 6 ft. 54 F    
05/20/1990,Overcast- water temp. @ 6 ft. 50 F    
05/26/1990,Water temp. @ 6 ft. 55 F    
06/02/1990,Overcast- windy- rough- temp. 64 F @ 6'    
06/09/1990,Temp. 66 F @ 6'    
06/17/1990,Rain this week 5"- temp. 72 F @ 6'    
06/24/1990,Water 70 F @ 6'- 3.5" rain this week    
06/30/1990,Windy- water 78 F @ 6'    
07/08/1990,Overcast- water 76 F @ 6'    
07/14/1990,Overcast- water 74 F @ 6'    
07/28/1990,Water 76 F @ 6'    
08/05/1990,Water 77 F @ 6'    
08/11/1990,Water 75 F @ 6'.    
08/25/1990,Water 76 F @ 6'    
09/01/1990,Water 76 F @ 6'    
09/23/1990,Very windy- water 60 F @ 6'    
10/06/1990,Water 61 F @ 6'    
10/13/1990,Water 50 F @ 6'    
10/21/1990,Windy- overcast- water 49 F @ 6'    
11/11/1990,Water 39 F @ 6'    
04/06/1991,Temp at 6': 50 F.  Water level: Up .25"    
04/21/1991,Temp at 6': 51 F.  Water level: up 3"    
04/28/1991,Temp at 6': 58 F- little boat traffic.  Water level: up 2.5"    
05/11/1991,Temp at 6': 60 F.  Water level: up 3.75"    
05/26/1991,Temp at 6': 69 F.  Water level: Up 3.25"    
06/08/1991,Temp at 6': 75 F.  Water level: Up 2.25"    
06/15/1991,Temp at 6': 75 F.  Water level up 1.75"    
06/22/1991,Windy- temp at 6': 75 F    
06/30/1991,Water temp: 82 F (6')    
07/05/1991,Water temp: 77 F (6')    
07/14/1991,Water temp: 76 F (6')    
07/21/1991,Heavy boat traffic the day before- temp at 6': 80 F    
08/04/1991,Temp at 6': 74 F    
08/10/1991,Temp at 6': 72 F    
08/25/1991,Water temp: 74 F (6')    
09/01/1991,Water temp: 76 F (6')    
09/15/1991,Overcast- lots of rain this week- 71 F (at 6')    
09/29/1991,Water temp: 54 F (6')    
10/05/1991,Water temp: 54 F (6')    
10/19/1991,Water temp: 47 F (6').    
04/18/1992,Water temp: 46 degrees 6' below surface.    
05/03/1992,Water temp: 58 degrees 6' below surface.    
05/10/1992,Water temp: 62 degrees 6' below surface.    
05/17/1992,Water temp: 65 degrees 6' below surface.    
05/23/1992,Lake is an inch below "high water"- water temp: 71 degrees 6' below surface.    
05/31/1992,Lake is 2.5" below "high water"- water temp: 66 degrees 6' below surface.    
06/06/1992,Lake level is 3.5" below "hi water"- water temp: 72 degrees 6' below surface.    
06/14/1992,Lake is 4.5" below "hi water"- water temp: 76 degrees 6' below surface.    
06/20/1992,Lake is 5.5" below "hi water"- water temp: 68 degrees 6' below surface.    
07/18/1992,It's 74 degrees six feet below the surface.    
08/01/1992,72 degrees F- 6 ft below the surface.    
08/08/1992,74 degrees F- below surface.    
08/21/1992,It is 72 degrees at 6 ft below surface.    
08/30/1992,Temp is 68 degrees @ 6 ft below the surface.    
09/05/1992,Temp is 67 degrees @ 6 ft below the surface.    
09/20/1992,Below surface after 2 weeks of heavy rain.    
10/04/1992,Water temp is 57 degrees @ 6 ft deep.    
10/10/1992,Water temp is 53 degrees @ 6 ft depth.    
10/18/1992,Temp is 44 degrees- 6 ft below surface.    
11/01/1992,Hard to read lake level- 10.5" below hi water- 33 degrees 6 Ft below surface.    
11/08/1992,Overcast- 33 degrees 6 ft below surface.    
04/18/1993,Ice out was Monday- 4-12-93.    
04/25/1993,Quite windy.    
05/05/1993,Overcast.    
05/08/1993,Very windy- water temp. 64- six feet below surface.    
05/23/1993,Overcast- 64 degrees at 6 ft below the surface.    
05/31/1993,Water temp. 61- six feet below surface.    
06/06/1993,Water temp 64- six feet below surface.    
06/19/1993,Record high level- water on some lawns. Water level: 18" above high water    
07/03/1993,Water on several lawns.    
07/11/1993,Water temp 6' below surface 76    
07/18/1993,Overcast- water now off of most lawns- water temp 76 at 6' below surface    
07/25/1993,Rain previous night approx. .25"- overcast- humid- 78 degrees- lake level dropped due to outlet being opened.    
08/01/1993,Water temp 77- at 6 feet below surface    
08/08/1993,Water temp 74- 6' below surface- water finally off of lawns.    
08/21/1993,Calm- sunny- water temp 77 at 6' below surface- took tsi tests    
08/28/1993,Temperature is 80 degrees @ 6 ft below the surface.    
09/05/1993,Temperature is 72 degrees- below the surface.    
09/26/1993,Temperature is 60 degrees @ 6 ft. below the surface.    
10/03/1993,Temperature is 54 degrees @ 6 ft below surface.    
10/10/1993,Temperature is 58 degrees- 6 ft below the surface.    
10/31/1993,Temperature is 43 degrees @ 6 Ft below the surface.  Windy- last test    
11/07/1993,Lake temperature is 40 degrees F @ 6 Ft below surface.    
11/14/1993,Overcast and windy- 41 degrees @ 6 ft below surface.    
05/05/1994,73 degrees 6 ft. below surface.    
05/08/1994,58 degrees F 6 ft. below surface.    
05/15/1994,63 degrees F 6 ft. below surface- 2 days of wind.    
05/22/1994,71 degrees 6 ft. below surface    
05/24/1994,70 degrees 6 ft. below surface.    
06/12/1994,Clear and sunny- slight SW wind    
06/19/1994,83 degrees- 6' below surface.    
06/26/1994,78 degrees. 6' below surface.    
07/03/1994,High water- 76 degrees F 6' below surface.    
07/10/1994,Lots of rain in the past week- sunny and calm- 3.5" level increase in 1 week    
07/17/1994,High water- 75 degrees F 6' below surface.    
07/30/1994,High water- 76 degrees F 6' below surface.    
08/07/1994,75 degrees F 6' below surface.    
08/14/1994,Very windy- after day of moderate boating    
08/20/1994,71 degrees 6' below surface.    
08/28/1994,High water- 76 degrees 6' below surface.    
09/04/1994,70 degrees F 6' below surface.    
09/10/1994,High water- 70 degrees F 6' below surface.    
09/25/1994,High water- overcast- 70 degrees F 6' below surface.    
10/02/1994,High water- 60 degrees F 6' below surface- overcast.    
10/23/1994,High water- very windy- 57 degrees F 6' below surface.    
11/06/1994,High water- very windy- 48 degrees F 6' below surface.    
11/13/1994,Overcast- 43 degrees F 6' below surface.    
04/02/1995,42 degrees 6' below surface.    
05/07/1995,58 degrees F 6' below surface overcast.    
05/21/1995,Overcast 64 degrees F 6' below surface.  Two days of wind.    
06/03/1995,Overcast- 72 degrees F 6' below surface.    
06/10/1995,68 degrees F 6' below surface.    
06/17/1995,76 degrees F 6' below surface.    
06/24/1995,85 degrees F 6' below surface.    
07/02/1995,75 degrees F 6' below surface.    
07/08/1995,71 degrees F 6' below surface.    
07/15/1995,Very calm- after several days of 90 and 100 temperatures.    
07/30/1995,81 degrees F 6' below surface.    
08/06/1995,79 degrees F 6' below surface.    
08/12/1995,Overcast- 80 degrees F 6' below surface.    
08/20/1995,79 degrees F 6' below surface.    
08/26/1995,Calm and hazy    
09/03/1995,77 degrees F 6' below surface.    
09/10/1995,70 degrees F 6' below surface.    
09/17/1995,69 degrees F 6' below surface.  Sunny/calm.    
09/24/1995,58 degrees F 6' below surface- calm-overcast.    
09/30/1995,63 degrees F 6' below surface.    
10/08/1995,57 degrees F 6' below surface.  Lots of rain this week.    
10/15/1995,56 degrees F 6' below surface.  Very windy- sunny.    
11/05/1995,Overcast and windy.    
04/21/1996,45 degrees 6 feet below surface.    
05/17/1996,56 degrees F 6' below surface.    
06/17/1996,After 2 days of heavy boating. 72 degrees F 6' down.    
06/23/1996,Overcast. 72 degrees F 6' below surface.    
07/04/1996,78 degrees F 6' below surface.    
07/20/1996,75 degrees F 6' below surface.    
07/27/1996,72 degrees F 6' below surface.    
08/17/1996,74 degrees F 6' below surface.    
08/25/1996,Top sample- no depth reported- assumed 3'.    
08/31/1996,74 degrees F 6' below surface.    
09/29/1996,58 degrees F 6' below surface- windy + sunny.    
10/05/1996,56 degrees F 6' below surface.  Water level: 9" above "high water"    
10/12/1996,53 degrees F 6' below surface.  Lake level: 9 7/8" above " high water"    
04/27/1997,Best clarity- 1st tsi. ice out 4/3. water level 3.5" above normal.    
05/04/1997,Lake level 2.75" above normal.    
05/11/1997,Lake level 2.5" above normal.    
05/25/1997,Lake level 3.5" above ordinary high water mark.    
07/13/1997,Water level 5.4" above OHWM.    
07/20/1997,Lake level 3.375" above ordinary high water mark.    
07/27/1997,Lake level 3.5" above ordinary high water mark.    
08/23/1997,Lake level 8.5" above ordinary high water mark.    
08/31/1997,Lake level 5.5" above ordinary high water mark.    
09/26/1997,Lake level 7.375" above ohwm.    
10/12/1997,Lake level 9.250" above ordinary high water mark.    
11/16/1997,Lake level 10.500 inches above ordinary high water mark.    
05/17/1998,LAKE SAMPLE    
09/20/1998,Lake 16.5" above ordinary high water mark.    
10/25/1998,17.50 inches above ordinary high water mark.    
06/05/1999,5" below ordinary high water mark.    
08/01/1999,12" below ordinary high water mark.    
08/14/1999,10" below ordinary high water mark.    
08/27/1999,11.50" below ordinary high water mark.    
09/21/1999,Lake level 7" below ohwm.    
10/06/1999,Level 6.250" below ordinary high water mark.    
10/21/1999,Lake level 5.25" below ordinary high water mark.    
11/09/1999,Lake level 4.25" below ordinary high water mark.    
11/18/1999,Took out boat 11/21/1999. lake froze 12/08/2000 - the latest anyone can remember.    
03/21/2000,Ice out 3/7/2000- earliest anyone can remember. temp at 6' = 40 degrees.    
03/29/2000,Ice out 3/7/00- partly cloudy.    
04/18/2000,Temp at 6' = 46 degrees.    
05/02/2000,63 degrees at 6 feet. lake level 5.125" below ordinary high water mark.  Sunny and calm.    
05/14/2000,Sunny- choppy- storms. 59 degrees at 6 feet.    
05/26/2000,3.25" below ohwm. 66 degrees at 6 feet.    
06/18/2000,13.875" below ohwm. 68 degrees at 6 feet.    
06/25/2000,14.75" below ordinary high water mark. 74 degrees at 6 feet. After heavy boating.    
07/04/2000,14.250" below ordinary high water mark. 78 degrees at 6 feet. After heavy boating.    
07/09/2000,76 degrees at 6 feet. maximum depth of lake 31 feet. 14" below ordinary high water mark.    
07/23/2000,Sunny and calm. 74 degrees at 6 feet. max depth of lake 31+ feet.    
10/31/2000,56 degrees at 6 feet. Taken from kayak. Lake level 25 feet.    
11/17/2000,Overcast.  The deepest depth (31) is too cold to collect.    
04/21/2001,DEEP HOLE    
07/07/2001,DEEP HOLE    
12/01/2001,DEEP HOLE    
04/23/2002,DEEP HOLE - 3FT VAN DORN    
07/06/2002,Sunny and breezy.    
08/06/2002,DEEP HOLE    
08/14/2002,DEEP ZONE    
04/22/2003,DEEP HOLE    
04/09/2004,DEEP SPOT - BASELINE LAKES SPRING PROTOCOL    
09/03/2004,DEEP HOLE    
04/25/2005,DEEP HOLE    
04/09/2006,DEEP HOLE - VAN DORN SAMPLE    




Start Date,Group Name,Project Name
02/22/1977,Data Collectors,Migrated from STORET Legacy
05/25/1977,Data Collectors,Migrated from STORET Legacy
08/15/1977,Data Collectors,Migrated from STORET Legacy
11/14/1977,Data Collectors,Migrated from STORET Legacy
08/14/1979,Data Collectors,Migrated from STORET Legacy
06/13/1988,Rob Stollfuss,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/26/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/03/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/11/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/17/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/30/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/07/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/13/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/20/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/05/1988,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
05/21/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
05/27/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/05/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/11/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/17/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/24/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/01/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/04/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/09/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/15/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/22/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/04/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/19/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/27/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/02/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/24/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/30/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/07/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/15/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/22/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
11/04/1989,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
04/26/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
05/12/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
05/20/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
05/26/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/02/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/09/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/17/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/24/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
06/30/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/08/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/14/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
07/28/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/05/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/11/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
08/25/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/01/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
09/23/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/06/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/13/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
10/21/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
11/11/1990,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
04/06/1991,Ron Jacob,Citizen Lake Monitoring - Water Quality - Tuttle Lake - Deep Hole
