Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Big Portage Lake,Vilas,1629500,NO,64,,643510,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189462,07/14/1999,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,07/26/1999,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/07/1999,13.25,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/26/1999,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/10/1999,13,NO,4,,,40,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/27/1999,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment
07/14/1999,Partly sunny- boat traffic moderate- SW wind light.    
07/26/1999,Clear + sunny.  Moderate NW wind. few boats.    
08/07/1999,Partly cloudy- moderate wind.    
08/26/1999,Clear- sunny- calm.    
09/10/1999,Clear + sunny.  Slight SW wind.  No boats.    
09/27/1999,Cloudy- moderate N wind.    
05/02/2000,Cloudy and southeast winds.    
05/26/2000,Clear- sunny- and no boats.    
06/18/2000,Cloudy.    
07/03/2000,Sunny and calm.    
07/16/2000,Windy but clear.    
07/22/2000,Calm and some clouds.    
08/04/2000,Windy.    
08/08/2000,Calm and cloudy.    
08/28/2000,Windy and overcast.    
09/10/2000,Clear and calm.    
10/01/2000,Calm- sunny- and 65 degrees.    
10/14/2000,Windy- partly cloudy.    
05/12/2001,Calm and sunny.    
05/26/2001,Cloudy.    
05/30/2001,Sunny.    
06/24/2001,Windy and clear.    
06/27/2001,Calm.    
07/06/2001,Boats and waves.    
07/09/2001,Lots of boats and sunny.    
08/04/2001,Calmer.    
08/08/2001,Overcast.    
08/24/2001,Sunny with a slight wind.    
09/29/2001,Clear and calm.    
10/02/2001,Clear and windy.    
05/24/2002,Windy- cloudy    
05/27/2002,calm- sunny    
06/08/2002,very calm- overcast- no boats around    
06/10/2002,a bit windy and humid    
06/28/2002,boats busy    
07/02/2002,hot and humid. Some boats    
07/11/2002,calm- few boats    
07/14/2002,windy- few boats    
08/01/2002,calm- overcast    
08/04/2002,rainy- overcast    
08/12/2002,windy- overcast    
08/30/2002,overcast- lots of boats    
09/02/2002,boats all weekend- busy    
10/05/2002,a bit windy. Sunny    
05/10/2003,Calm- partly cloudy    
06/13/2003,Very calm- sunny    
06/15/2003,Very calm- no boats around    
06/28/2003,Cloudy    
07/18/2003,Sunny- calm    
08/02/2003,Cloudy but calm.    
08/05/2003,Calm    
08/17/2003,Calm- sunny    
05/15/2004,calm- sunny- clear    
06/10/2004,very windy- sunny- rough water    
06/14/2004,calm but overcast    
07/19/2004,windy- overcast    
07/24/2004,salm- sunny    
07/27/2004,calm/sunny    
08/07/2004,calm/sunny    
08/18/2004,bit windy/sunny    
08/21/2004,sunny- bit of wind    
05/31/2005,very calm    
06/18/2005,windy/sunny    
06/30/2005,very windy    
07/04/2005,lots of boats all weekend    
07/25/2005,windy / cloudy    
07/29/2005,windy / boats    
08/01/2005,very calm / no boats / hot    
08/14/2005,sunny / calm    
08/18/2005,overcast    
08/30/2005,sunny    
09/06/2005,overcast    
05/05/2006,rough- cloudy
05/22/2006,calm- clear- lovely
05/25/2006,bit rough- clouds
06/02/2006,calm- clear- lovely
06/15/2006,calm- clear
06/19/2006,overcast
07/14/2006,sunny- hot
07/19/2006,SUNNY
08/03/2006,sunny
08/06/2006,windy- rough
08/17/2006,some algae
08/21/2006,some algae
08/27/2006,much algae- calm- clear
08/30/2006,calm- clear- still loads of algae
05/25/2007,Slightly windy.
06/02/2007,Calm- quiet lake.
06/28/2007,Bit windy
07/04/2007,Calm
07/18/2007,Calm- clear
07/23/2007,Overcast
08/06/2007,Calm- bit cloudy
08/11/2007,Calm- clear
08/28/2007,Calm- foggy
09/03/2007,Calm/very calm.  Can watch algae growing last 3-5 days.  Getting murkier.
05/23/2009,Beautiful- sunny- calm
05/28/2009,Bit windy- sunny
06/03/2009,Calm- sunny
06/07/2009,Overcast but calm
06/19/2009,Windy- sunny
06/23/2009,Sunny- pollen in lake dense in spots
07/17/2009,Wind blowing bit- clouds
07/21/2009,Calm- clear day
07/30/2009,Bit windy- sunny
08/04/2009,Sunny- calm
08/22/2009,Clear- calm.  Algae seen morein lake this reading.
05/28/2010,calm and sunny. Pollen on water.
06/01/2010,Windy and sunny.
06/11/2010,calm and cloudy
06/19/2010,Bit windy. overcast.
07/11/2010,Bit windy.
07/19/2010,Sunny and clear
07/22/2010,overcast and windy.
07/31/2010,overcast.
08/05/2010,sunny and clear
08/25/2010,bit windy
08/31/2010,bit overcast
05/10/2011,Sunny
05/26/2011,windy but clear
05/29/2011,rough water/windy
06/11/2011,Sunny-clear
06/14/2011,cloudy- calm
06/18/2011,overcast and bit windy
07/06/2011,bit windy and sunny
07/10/2011,overcast and a bit windy
07/20/2011,calm and sunny
07/24/2011,calm- sunny
08/02/2011,sunny- bit windy
08/07/2011,clam and clear
08/20/2011,windy- some algae in water
08/28/2011,very clam- sunny- some algae in water
08/31/2011,bit windy and overcast- some algae in waters
05/24/2012,calm but overcast
05/28/2012,very windy but sunny
06/10/2012,windy and cloudy
06/15/2012,windy and rough
07/18/2012,calm and sunny
07/22/2012,windy and sunny
08/01/2012,rough water but sunny
08/07/2012,windy and rough
08/12/2012,sunny and bit windy
08/20/2012,sunny and windy
08/28/2012,sunny and calm
08/31/2012,calm/sunny/beautiful
09/02/2012,sunny and bit windy
06/17/2013,rather windy but sunny
06/19/2013,calm but some clouds
06/23/2013,Was after lots of rain and water visibily stirred up and more murky from storms.  Lake rose quite a bit after these rains!
08/11/2013,very rainy past few days- water more murky
08/25/2013,cloudy
08/31/2013,calm- glass water- absolutely still as could be- sunny
07/10/2015,Really windy- rough waters so hard to get reading
07/28/2015,Calm and gorgeous
08/06/2015,Windy and rough
08/30/2015,Algae seems to be present last few readings but not as thick as other years.  Very few boats out past week.
07/01/2016,choppy- boats everywhere
07/17/2016,Noted more plant matter in water last few weeks- algae I assume
08/22/2016,Last few weeks could see much murkier and lots more stuff in water
08/05/2017,Massive rainfall past 2 days




Start Date,Group Name,Project Name
07/14/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/26/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/07/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/26/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/10/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/27/1999,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/02/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/26/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/18/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/03/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/16/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/22/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/04/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/08/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/28/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/10/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
10/01/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
10/14/2000,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/12/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/26/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/30/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/24/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/27/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/06/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/09/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/04/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/08/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/24/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/20/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/29/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
10/02/2001,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/24/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/27/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/08/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/10/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/28/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/02/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/11/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/14/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/01/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/04/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/12/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/30/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/02/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
10/05/2002,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/10/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/13/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/15/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/28/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/18/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/02/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/05/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/17/2003,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/15/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/10/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/14/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/19/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/24/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/27/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/07/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/18/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/21/2004,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/28/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/31/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/18/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/30/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/04/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/25/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/29/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/01/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/14/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/18/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/30/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/06/2005,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/05/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/22/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/25/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/02/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/15/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/14/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/19/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/03/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/06/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/17/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/21/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/27/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/30/2006,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/25/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/02/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/28/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/04/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/18/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/23/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/06/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/11/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/28/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/03/2007,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/22/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/26/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/05/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/08/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/26/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/30/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/10/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/13/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/31/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/03/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/15/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/19/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/28/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/02/2008,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/23/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/28/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/03/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/07/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/23/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/17/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/21/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/30/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/04/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/22/2009,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/28/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/01/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/11/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/11/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/19/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/22/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/31/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/05/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/25/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2010,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/10/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/26/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/29/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/11/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/14/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/18/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/06/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/10/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/20/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/24/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/02/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/07/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/20/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/28/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2011,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/24/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/28/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/10/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/15/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/18/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/22/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/01/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/07/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/12/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/20/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/28/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/02/2012,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/25/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/17/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/23/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/23/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/28/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/06/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/11/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/25/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/29/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2013,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/28/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/01/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/15/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/21/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/23/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/30/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/02/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/08/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/10/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/17/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/22/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/27/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2014,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/12/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/15/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/06/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/10/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/26/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/28/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/06/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/20/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/25/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/30/2015,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/26/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/30/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/11/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/13/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/16/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/19/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/01/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/04/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/07/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/09/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/17/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/19/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/07/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/10/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/18/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
