Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Emma Lake,Oneida,983500,NO,44,,443094,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/01/1979,,,,,,,,,,,,,
8190668,06/29/1993,5.5,NO,1.7,,,53,,,NORMAL (CREEK FLOWING),,,BROWN,2-Very minor aesthetic problems
8190668,07/15/1993,5.75,NO,1.7,,,52,,,LOW,,,BROWN,2-Very minor aesthetic problems
08/02/2002,Mostly cloudy.  Humid.  First time in years that 2 chicks lived this long.    
08/10/2002,Partly cloudy.  South wind.  Temp 70s.  Loon chicks doing good.    
08/20/2002,Sunny- warm- light wind.  Lots of algae spots.    
08/26/2002,Sunny and calm.    
09/16/2002,Sunny- light wind.    
05/17/2003,Light wind from SE.    
06/13/2003,Partly cloudy- light wind.  Found loon nest today.    
06/19/2003,Sunny    
06/27/2003,Wind from West.  Cool temperatures.    
07/05/2003,Little or no wind.  Sunny and warm.    
07/13/2003,Sunny and warm. Algae bloom - especially on west shore.    
07/17/2003,Light wind from NE. Sunny. Still lots of algae.    
07/29/2003,Little or no wind.  Warm. 80 F.    
08/12/2003,No wind- hot day- sunny    
05/07/2005,The water appears to have less tannins this year.  Light ESE wind.    
05/29/2005,Starting to see a bit of pollen on / in the water.    
06/09/2005,Lots of pollen.  Light SW wind.    
06/24/2005,Moderate wind from SW.  Just rained.    
07/06/2005,Not much rain this summer.  Lake level getting low.  Light SW wind.    
07/15/2005,Hot - no rain for weeks.    
07/21/2005,Sunny and warm.  Light wind from north.    
08/06/2005,Sunny.  Light wind from SW.  Water is very low.    
08/11/2005,Overcast.  Dead calm.  Humid and hazy.    
08/20/2005,Sunny - no clouds at all.  1.4" rain last night.  Light wind.    
09/18/2005,Water is very low.  Partly cloudy.    
09/28/2005,DEEP HOLE    
10/10/2005,Sunny- water is very clear and no tannins.    
10/16/2005,First time disk every hit bottom!  Clear and calm.  Water level is very low - water is very clear.  This lake used to have brown water full of tannins - now it's clear blue.    
06/03/2011,WINDS: SE @ 5-10
TEMP: LOW 70'S
OVERCAST/HAZE SKY
06/13/2011,WINDS: S 5-10
TEMP: 75
CLEAR SKY
06/24/2011,WINDS: CALM
TEMP: 80
CLEAR SKY
07/04/2011,WINDS: CALM
TEMP: 79
CLEAR SKY
07/19/2011,TEMP: 83
WINDS: 5
CLEAR SKY TEMP: 88
WINDS: 5-10
PARTLY CLOUDY SKY
08/01/2011,TEMP: 87
WINDS:CALM
CLEAR SKY
08/05/2011,TEMP: 81
WINDS: CALM
CLEAR SKY
08/15/2011,TEMP: 77
WINDS: 5
PARTLY CLOUDY SKY
09/04/2011,TEMP: 84
WINDS: 5
PARTLY CLOUDY SKY




Start Date,Group Name,Project Name
08/01/1979,Data Collectors,Migrated from STORET Legacy
06/29/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/15/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/22/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/01/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/07/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/15/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/21/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/27/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/19/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/25/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/09/1993,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/03/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/10/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/18/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/24/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/01/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/09/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/17/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/14/1994,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/19/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/17/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/23/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/02/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/09/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/16/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/23/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/29/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/13/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/18/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/02/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/10/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/16/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/27/1995,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/08/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/04/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/20/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/02/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/10/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/17/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/24/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/31/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/19/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/01/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/12/1996,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/14/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/28/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/06/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/12/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/18/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/26/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/02/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/09/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/23/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/29/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/06/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/14/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/20/1997,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/04/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/17/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/13/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/26/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/10/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/19/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/26/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/12/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/18/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/29/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/04/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/13/1998,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/22/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/30/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/07/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/21/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/27/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/07/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/15/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/29/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/07/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/14/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/25/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/04/1999,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/07/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/28/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/03/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/18/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/27/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/11/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/14/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/06/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/26/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/09/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/17/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/24/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/30/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/11/2000,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/09/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/12/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/21/2001,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/26/2001,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/03/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/03/2001,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/13/2001,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/19/2001,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/20/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/28/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/11/2001,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/10/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/18/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/28/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/03/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/23/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/02/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/10/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/20/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/26/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/16/2002,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/10/2002,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/17/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/13/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/19/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/27/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/05/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/13/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/17/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/29/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/12/2003,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/15/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/07/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/28/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/01/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/09/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/06/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/14/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/04/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/11/2004,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/07/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/29/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/09/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/24/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/06/2005,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/15/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/21/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/06/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/11/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/20/2005,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/18/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/28/2005,Paul Garrison,Statewide Lakes Water Quality Measures 2005-2006
10/10/2005,Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
10/16/2005,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/13/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/21/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
05/29/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/07/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/27/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/10/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/12/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/07/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/12/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/27/2006,Ron Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/28/2007,STEVEN GREB,Dissolved Organic Carbon (DOC) Assessment for Remote Sensing 2007
06/03/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/13/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
06/24/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/04/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/19/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/01/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/05/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
08/15/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
09/04/2011,Ron And Steve Teclaw,Citizen Lake Monitoring - Water Quality - Emma Lake; Deep Hole
07/15/2016,Stephanie Boismenue and Aubrey Nycz,Lake Water Quality Monitoring - Oneida County Land and Water Dept.
