Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tiger Cat Flowage,Sawyer,2435000,NO,58,,583104,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189247,09/23/1997,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/02/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189247,07/23/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/08/1998,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/30/1998,8.5,NO,2.6,,,46,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/20/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189247,10/04/1998,8.75,NO,2.7,,,46,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
05/21/2006,6,FEET,58.4,DEGREES F,,
05/21/2006,9,FEET,57.9,DEGREES F,8,MG/L
05/21/2006,12,FEET,57.5,DEGREES F,8,MG/L
05/21/2006,15,FEET,57.3,DEGREES F,8,MG/L
05/21/2006,18,FEET,57.3,DEGREES F,,
05/21/2006,20,FEET,53.6,DEGREES F,8,MG/L
06/11/2006,0,FEET,71,DEGREES F,,
06/11/2006,3,FEET,68.9,DEGREES F,7,MG/L
06/11/2006,6,FEET,68.3,DEGREES F,,
06/11/2006,9,FEET,68,DEGREES F,7,MG/L
06/11/2006,12,FEET,67.6,DEGREES F,8,MG/L
06/11/2006,15,FEET,67.2,DEGREES F,8,MG/L
06/11/2006,18,FEET,63.6,DEGREES F,8,MG/L
06/11/2006,20,FEET,62.4,DEGREES F,,
07/23/2006,1,FEET,77,DEGREES F,,
07/23/2006,3,FEET,77,DEGREES F,8,MG/L
07/23/2006,6,FEET,76.8,DEGREES F,,
07/23/2006,9,FEET,76.6,DEGREES F,9,MG/L
07/23/2006,12,FEET,76.4,DEGREES F,9,MG/L
07/23/2006,15,FEET,76.2,DEGREES F,9,MG/L
07/23/2006,18,FEET,74.1,DEGREES F,,
07/23/2006,20,FEET,66,DEGREES F,5,MG/L
08/21/2006,1,FEET,73.7,DEGREES F,,
08/21/2006,3,FEET,73.7,DEGREES F,8,MG/L
08/21/2006,6,FEET,73.7,DEGREES F,,
08/21/2006,9,FEET,73.7,DEGREES F,8,MG/L
08/21/2006,12,FEET,73.4,DEGREES F,8,MG/L
08/21/2006,15,FEET,72.6,DEGREES F,8,MG/L
08/21/2006,18,FEET,72.5,DEGREES F,,
08/21/2006,20,FEET,71.4,DEGREES F,8,MG/L
09/26/2006,1,FEET,56,DEGREES F,,
09/26/2006,3,FEET,57,DEGREES F,6,MG/L
09/26/2006,6,FEET,57.2,DEGREES F,,
09/26/2006,9,FEET,57.2,DEGREES F,6,MG/L
09/26/2006,12,FEET,57.2,DEGREES F,7,MG/L
09/26/2006,15,FEET,57,DEGREES F,7,MG/L
09/26/2006,18,FEET,57,DEGREES F,,
09/26/2006,20,FEET,58.2,DEGREES F,6,MG/L
05/19/2007,0,FEET,62.9,DEGREES F,,
05/19/2007,3,FEET,62.9,DEGREES F,6,MG/L
05/19/2007,6,FEET,62.9,DEGREES F,,
05/19/2007,9,FEET,62.7,DEGREES F,7,MG/L
05/19/2007,12,FEET,62.6,DEGREES F,7,MG/L
05/19/2007,15,FEET,62.4,DEGREES F,7,MG/L
05/19/2007,18,FEET,61.8,DEGREES F,,
05/19/2007,20,FEET,59.3,DEGREES F,7,MG/L
06/24/2007,0,FEET,76.6,DEGREES F,,
06/24/2007,3,FEET,76.4,DEGREES F,7,MG/L
06/24/2007,6,FEET,76.2,DEGREES F,,
06/24/2007,9,FEET,75.9,DEGREES F,8,MG/L
06/24/2007,12,FEET,74.4,DEGREES F,8,MG/L
06/24/2007,15,FEET,72.6,DEGREES F,7,MG/L
06/24/2007,18,FEET,69.6,DEGREES F,,
06/24/2007,20,FEET,66,DEGREES F,7,MG/L
07/07/2007,0,FEET,76.8,DEGREES F,,
07/07/2007,3,FEET,76.6,DEGREES F,,
07/07/2007,6,FEET,76.4,DEGREES F,,
07/07/2007,9,FEET,76.4,DEGREES F,,
07/07/2007,12,FEET,76.2,DEGREES F,,
07/07/2007,15,FEET,74.1,DEGREES F,,
07/07/2007,18,FEET,71.7,DEGREES F,,
07/07/2007,20,FEET,71.7,DEGREES F,,
07/23/2007,0,FEET,73.4,DEGREES F,,
07/23/2007,3,FEET,73.4,DEGREES F,8,MG/L
07/23/2007,6,FEET,73.4,DEGREES F,,
07/23/2007,9,FEET,73.4,DEGREES F,8,MG/L
07/23/2007,12,FEET,73.2,DEGREES F,8,MG/L
07/23/2007,15,FEET,72.8,DEGREES F,8,MG/L
07/23/2007,18,FEET,72.3,DEGREES F,,
07/23/2007,21,FEET,69,DEGREES F,7,MG/L
08/26/2007,0,FEET,69,DEGREES F,,
08/26/2007,3,FEET,69,DEGREES F,8,MG/L
08/26/2007,6,FEET,68.9,DEGREES F,,
08/26/2007,9,FEET,68.7,DEGREES F,8,MG/L
08/26/2007,12,FEET,68.5,DEGREES F,7,MG/L
08/26/2007,15,FEET,68.1,DEGREES F,7,MG/L
08/26/2007,18,FEET,67.8,DEGREES F,,
08/26/2007,20,FEET,66.5,DEGREES F,6,MG/L
05/19/2008,0,FEET,55.5,DEGREES F,,
05/19/2008,3,FEET,55.5,DEGREES F,6,MG/L
05/19/2008,6,FEET,55.5,DEGREES F,,
05/19/2008,9,FEET,55.4,DEGREES F,7,MG/L
05/19/2008,12,FEET,55.4,DEGREES F,7,MG/L
05/19/2008,15,FEET,54.8,DEGREES F,8,MG/L
05/19/2008,18,FEET,52.1,DEGREES F,,
05/19/2008,22,FEET,51.6,DEGREES F,8,MG/L
06/07/2008,0,FEET,64.4,DEGREES F,,
06/07/2008,3,FEET,63.8,DEGREES F,,
06/07/2008,6,FEET,63.6,DEGREES F,,
06/07/2008,9,FEET,63.6,DEGREES F,,
06/07/2008,12,FEET,63.3,DEGREES F,,
06/07/2008,15,FEET,63.3,DEGREES F,,
06/07/2008,18,FEET,62.6,DEGREES F,,
06/07/2008,20,FEET,62.6,DEGREES F,,
06/23/2008,0,FEET,69.9,DEGREES F,,
06/23/2008,3,FEET,69,DEGREES F,7,MG/L
06/23/2008,6,FEET,68.7,DEGREES F,,
06/23/2008,9,FEET,68.3,DEGREES F,8,MG/L
06/23/2008,12,FEET,68.1,DEGREES F,9,MG/L
06/23/2008,15,FEET,67.4,DEGREES F,9,MG/L
06/23/2008,18,FEET,65.1,DEGREES F,,
06/23/2008,22,FEET,60.2,DEGREES F,8,MG/L
07/09/2008,0,FEET,73.7,DEGREES F,,
07/09/2008,3,FEET,73.7,DEGREES F,,
07/09/2008,6,FEET,73.4,DEGREES F,,
07/09/2008,9,FEET,73.4,DEGREES F,,
07/09/2008,12,FEET,73.2,DEGREES F,,
07/09/2008,15,FEET,72.6,DEGREES F,,
07/09/2008,18,FEET,69,DEGREES F,,
07/09/2008,20,FEET,68.5,DEGREES F,,
07/21/2008,0,FEET,75.2,DEGREES F,,
07/21/2008,3,FEET,75,DEGREES F,7,MG/L
07/21/2008,6,FEET,74.4,DEGREES F,,
07/21/2008,9,FEET,74.3,DEGREES F,8,MG/L
07/21/2008,12,FEET,72.6,DEGREES F,8,MG/L
07/21/2008,15,FEET,71.4,DEGREES F,,
07/21/2008,18,FEET,69.8,DEGREES F,8,MG/L
07/21/2008,20,FEET,64.5,DEGREES F,6,MG/L
08/02/2008,0,FEET,78,DEGREES F,,
08/02/2008,3,FEET,76.2,DEGREES F,,
08/02/2008,6,FEET,75.9,DEGREES F,,
08/02/2008,9,FEET,75.5,DEGREES F,,
08/02/2008,12,FEET,75.3,DEGREES F,,
08/02/2008,15,FEET,75,DEGREES F,,
08/02/2008,18,FEET,71.6,DEGREES F,,
08/02/2008,20,FEET,66.2,DEGREES F,,
08/18/2008,0,FEET,74.6,DEGREES F,,
08/18/2008,3,FEET,74.4,DEGREES F,6,MG/L
08/18/2008,6,FEET,74.4,DEGREES F,,
08/18/2008,9,FEET,74.3,DEGREES F,8,MG/L
08/18/2008,12,FEET,74.1,DEGREES F,8,MG/L
08/18/2008,15,FEET,73.4,DEGREES F,,
08/18/2008,18,FEET,72.3,DEGREES F,5,MG/L
08/18/2008,20,FEET,64.7,DEGREES F,4,MG/L
09/21/2008,0,FEET,64,DEGREES F,,
09/21/2008,3,FEET,63.8,DEGREES F,,
09/21/2008,6,FEET,63.8,DEGREES F,,
09/21/2008,9,FEET,63.8,DEGREES F,,
09/21/2008,12,FEET,63.6,DEGREES F,,
09/21/2008,15,FEET,63.6,DEGREES F,,
09/21/2008,18,FEET,63.6,DEGREES F,,
09/21/2008,20,FEET,63.6,DEGREES F,,
10/04/2008,0,FEET,58.2,DEGREES F,,
10/04/2008,3,FEET,57.7,DEGREES F,,
10/04/2008,6,FEET,57.2,DEGREES F,,
10/04/2008,9,FEET,57,DEGREES F,,
10/04/2008,12,FEET,56.6,DEGREES F,,
10/04/2008,15,FEET,56.1,DEGREES F,,
10/04/2008,18,FEET,58.2,DEGREES F,,
10/04/2008,20,FEET,58.6,DEGREES F,,
04/28/2009,0,FEET,50.3,DEGREES F,,
04/28/2009,3,FEET,50,DEGREES F,,
04/28/2009,6,FEET,44.8,DEGREES F,,
04/28/2009,9,FEET,44.8,DEGREES F,,
04/28/2009,12,FEET,44.6,DEGREES F,,
04/28/2009,15,FEET,44.6,DEGREES F,,
04/28/2009,18,FEET,44.2,DEGREES F,,
04/28/2009,20,FEET,48.2,DEGREES F,,
05/08/2009,0,FEET,58,DEGREES F,,
05/08/2009,3,FEET,59.7,DEGREES F,10.21,MG/L
05/08/2009,6,FEET,59.3,DEGREES F,10.44,MG/L
05/08/2009,9,FEET,58.8,DEGREES F,10.51,MG/L
05/08/2009,12,FEET,58.4,DEGREES F,10.5,MG/L
05/08/2009,15,FEET,57.5,DEGREES F,10.29,MG/L
05/08/2009,18,FEET,56.6,DEGREES F,9.96,MG/L
06/02/2009,0,FEET,62.3,DEGREES F,,
06/02/2009,3,FEET,63.1,DEGREES F,9.2,MG/L
06/02/2009,6,FEET,62.6,DEGREES F,9.36,MG/L
06/02/2009,9,FEET,62.4,DEGREES F,9.4,MG/L
06/02/2009,12,FEET,62.3,DEGREES F,9.42,MG/L
06/29/2009,0,FEET,70.3,DEGREES F,8.6,MG/L
06/29/2009,3,FEET,70.5,DEGREES F,8.47,MG/L
06/29/2009,6,FEET,70.5,DEGREES F,8.55,MG/L
06/29/2009,9,FEET,69.8,DEGREES F,9.42,MG/L
06/29/2009,12,FEET,65.9,DEGREES F,9.75,MG/L
06/29/2009,15,FEET,64.4,DEGREES F,8.85,MG/L
06/29/2009,18,FEET,62.2,DEGREES F,6.18,MG/L
06/29/2009,20,FEET,61,DEGREES F,1.11,MG/L
07/07/2009,0,FEET,72.1,DEGREES F,9.68,MG/L
07/07/2009,3,FEET,71.3,DEGREES F,10.05,MG/L
07/07/2009,6,FEET,71.1,DEGREES F,10.09,MG/L
07/07/2009,9,FEET,71,DEGREES F,10.07,MG/L
07/07/2009,12,FEET,70.5,DEGREES F,10.46,MG/L
07/07/2009,15,FEET,67,DEGREES F,8.72,MG/L
07/07/2009,18,FEET,62.9,DEGREES F,.48,MG/L
07/07/2009,20,FEET,61.6,DEGREES F,.14,MG/L
07/27/2009,0,FEET,71.5,DEGREES F,9.68,MG/L
07/27/2009,3,FEET,71.5,DEGREES F,9.71,MG/L
07/27/2009,6,FEET,71.5,DEGREES F,9.72,MG/L
07/27/2009,9,FEET,71.5,DEGREES F,9.71,MG/L
07/27/2009,12,FEET,71,DEGREES F,9.05,MG/L
07/27/2009,15,FEET,68.7,DEGREES F,7.17,MG/L
07/27/2009,18,FEET,66.9,DEGREES F,2.42,MG/L
07/27/2009,20,FEET,65.3,DEGREES F,.36,MG/L
08/31/2009,0,FEET,66.7,DEGREES F,7.87,MG/L
08/31/2009,3,FEET,66.5,DEGREES F,7.87,MG/L
08/31/2009,6,FEET,66.2,DEGREES F,7.95,MG/L
08/31/2009,9,FEET,66,DEGREES F,7.99,MG/L
08/31/2009,12,FEET,66,DEGREES F,8,MG/L
08/31/2009,15,FEET,65.5,DEGREES F,8.13,MG/L
08/31/2009,18,FEET,65.7,DEGREES F,.21,MG/L
08/31/2009,20,FEET,65.8,DEGREES F,.14,MG/L
09/30/2009,0,FEET,59.9,DEGREES F,8.45,MG/L
09/30/2009,3,FEET,59.5,DEGREES F,8.41,MG/L
09/30/2009,6,FEET,59.5,DEGREES F,8.37,MG/L
09/30/2009,9,FEET,59.5,DEGREES F,8.33,MG/L
09/30/2009,12,FEET,59.4,DEGREES F,8.27,MG/L
09/30/2009,15,FEET,59.3,DEGREES F,8.22,MG/L
09/30/2009,18,FEET,59,DEGREES F,8,MG/L
09/30/2009,20,FEET,62.1,DEGREES F,.17,MG/L
04/20/2010,0,FEET,56.8,DEGREES F,10.7,MG/L
04/20/2010,3,FEET,56.3,DEGREES F,10.7,MG/L
04/20/2010,6,FEET,55.7,DEGREES F,10.72,MG/L
04/20/2010,9,FEET,55.4,DEGREES F,10.73,MG/L
04/20/2010,12,FEET,54.9,DEGREES F,10.63,MG/L
04/20/2010,15,FEET,54.4,DEGREES F,10.32,MG/L
04/20/2010,18,FEET,53.4,DEGREES F,.58,MG/L
04/20/2010,20,FEET,52.6,DEGREES F,.15,MG/L
04/26/2010,0,FEET,55.9,DEGREES F,9.76,MG/L
04/26/2010,3,FEET,55.7,DEGREES F,9.76,MG/L
04/26/2010,6,FEET,55.5,DEGREES F,9.79,MG/L
04/26/2010,9,FEET,55.4,DEGREES F,9.8,MG/L
04/26/2010,12,FEET,55.3,DEGREES F,9.8,MG/L
04/26/2010,15,FEET,55.3,DEGREES F,9.8,MG/L
04/26/2010,18,FEET,55.3,DEGREES F,9.8,MG/L
04/26/2010,20,FEET,54.8,DEGREES F,7.32,MG/L
05/25/2010,0,FEET,72.7,DEGREES F,9.43,MG/L
05/25/2010,3,FEET,72.4,DEGREES F,9.4,MG/L
05/25/2010,6,FEET,72.2,DEGREES F,9.38,MG/L
05/25/2010,9,FEET,71.4,DEGREES F,9.31,MG/L
05/25/2010,12,FEET,62.3,DEGREES F,10.88,MG/L
05/25/2010,15,FEET,58.1,DEGREES F,11.01,MG/L
05/25/2010,18,FEET,56.9,DEGREES F,10.62,MG/L
05/25/2010,21,FEET,55.6,DEGREES F,3.59,MG/L
06/05/2010,0,FEET,72.4,DEGREES F,8.59,MG/L
06/05/2010,3,FEET,72.4,DEGREES F,8.59,MG/L
06/05/2010,6,FEET,72.1,DEGREES F,8.43,MG/L
06/05/2010,9,FEET,72,DEGREES F,8.33,MG/L
06/05/2010,12,FEET,68.6,DEGREES F,9.85,MG/L
06/05/2010,15,FEET,63.1,DEGREES F,9.71,MG/L
06/05/2010,18,FEET,59.7,DEGREES F,.17,MG/L
06/05/2010,21,FEET,59.3,DEGREES F,.09,MG/L
06/29/2010,0,FEET,72.2,DEGREES F,8.27,MG/L
06/29/2010,3,FEET,72.3,DEGREES F,8.25,MG/L
06/29/2010,6,FEET,72.3,DEGREES F,8.24,MG/L
06/29/2010,9,FEET,72.3,DEGREES F,8.25,MG/L
06/29/2010,12,FEET,70.4,DEGREES F,6.19,MG/L
06/29/2010,15,FEET,67.2,DEGREES F,2.4,MG/L
06/29/2010,18,FEET,62.4,DEGREES F,.78,MG/L
06/29/2010,21,FEET,60.4,DEGREES F,.08,MG/L
07/06/2010,0,FEET,79.6,DEGREES F,8.52,MG/L
07/06/2010,3,FEET,79.2,DEGREES F,8.62,MG/L
07/06/2010,6,FEET,77.8,DEGREES F,8.37,MG/L
07/06/2010,9,FEET,76.9,DEGREES F,7.87,MG/L
07/06/2010,12,FEET,76.1,DEGREES F,7.44,MG/L
07/06/2010,15,FEET,72.6,DEGREES F,4.22,MG/L
07/06/2010,18,FEET,68.1,DEGREES F,1.56,MG/L
07/24/2010,0,FEET,76.6,DEGREES F,8.75,MG/L
07/24/2010,3,FEET,76.6,DEGREES F,8.78,MG/L
07/24/2010,6,FEET,76.3,DEGREES F,8.83,MG/L
07/24/2010,9,FEET,76.2,DEGREES F,8.77,MG/L
07/24/2010,12,FEET,76.1,DEGREES F,8.66,MG/L
07/24/2010,15,FEET,75.2,DEGREES F,5.13,MG/L
07/24/2010,18,FEET,68.7,DEGREES F,.46,MG/L
07/24/2010,21,FEET,68,DEGREES F,.07,MG/L
09/05/2010,0,FEET,69.1,DEGREES F,8.2,MG/L
09/05/2010,3,FEET,68.3,DEGREES F,8.13,MG/L
09/05/2010,6,FEET,67.9,DEGREES F,8.05,MG/L
09/05/2010,9,FEET,67.6,DEGREES F,7.96,MG/L
09/05/2010,12,FEET,67.3,DEGREES F,7.89,MG/L
09/05/2010,15,FEET,67.2,DEGREES F,7.84,MG/L
09/05/2010,18,FEET,67.1,DEGREES F,7.97,MG/L
09/05/2010,21,FEET,66.9,DEGREES F,8.34,MG/L
05/04/2011,3,FEET,45.6,DEGREES F,11.21,MG/L
05/04/2011,6,FEET,45.5,DEGREES F,11.2,MG/L
05/04/2011,9,FEET,45.1,DEGREES F,11.02,MG/L
05/04/2011,12,FEET,44.8,DEGREES F,10.7,MG/L
05/04/2011,15,FEET,44.7,DEGREES F,10.9,MG/L
05/04/2011,18,FEET,44.5,DEGREES F,9.92,MG/L
05/04/2011,20,FEET,44.4,DEGREES F,6.65,MG/L
05/19/2011,0,FEET,59,DEGREES F,10.44,MG/L
05/19/2011,3,FEET,57,DEGREES F,10.42,MG/L
05/19/2011,6,FEET,56.5,DEGREES F,10.21,MG/L
05/19/2011,9,FEET,56.2,DEGREES F,10.31,MG/L
05/19/2011,12,FEET,56.1,DEGREES F,10.3,MG/L
05/19/2011,15,FEET,55.7,DEGREES F,10.2,MG/L
05/19/2011,18,FEET,55.2,DEGREES F,5.79,MG/L
06/08/2011,0,FEET,74.8,DEGREES F,8.95,MG/L
06/08/2011,3,FEET,74.8,DEGREES F,8.95,MG/L
06/08/2011,6,FEET,74.8,DEGREES F,8.95,MG/L
06/08/2011,9,FEET,72.6,DEGREES F,9.4,MG/L
06/08/2011,12,FEET,69.3,DEGREES F,9.32,MG/L
06/08/2011,15,FEET,66.4,DEGREES F,8.55,MG/L
06/08/2011,18,FEET,64.9,DEGREES F,6.32,MG/L
07/02/2011,0,FEET,77.4,DEGREES F,9.2,MG/L
07/02/2011,3,FEET,77.2,DEGREES F,9.23,MG/L
07/02/2011,6,FEET,75.7,DEGREES F,9.45,MG/L
07/02/2011,9,FEET,74,DEGREES F,9.3,MG/L
07/02/2011,12,FEET,71.8,DEGREES F,7.81,MG/L
07/02/2011,15,FEET,68.5,DEGREES F,5.28,MG/L
07/02/2011,18,FEET,66,DEGREES F,1.49,MG/L
07/02/2011,20,FEET,63.8,DEGREES F,.27,MG/L
07/25/2011,0,FEET,76.2,DEGREES F,8.28,MG/L
07/25/2011,3,FEET,76.2,DEGREES F,8.29,MG/L
07/25/2011,6,FEET,76.2,DEGREES F,8.29,MG/L
07/25/2011,9,FEET,76.2,DEGREES F,8.31,MG/L
07/25/2011,12,FEET,76.2,DEGREES F,8.34,MG/L
07/25/2011,15,FEET,73.9,DEGREES F,3.4,MG/L
07/25/2011,18,FEET,68.5,DEGREES F,.21,MG/L
07/25/2011,20,FEET,67.3,DEGREES F,.07,MG/L
08/09/2011,0,FEET,76.4,DEGREES F,8.84,MG/L
08/09/2011,3,FEET,76.5,DEGREES F,8.83,MG/L
08/09/2011,6,FEET,76.6,DEGREES F,8.82,MG/L
08/09/2011,9,FEET,76.6,DEGREES F,8.76,MG/L
08/09/2011,12,FEET,76.6,DEGREES F,8.62,MG/L
08/09/2011,15,FEET,75.6,DEGREES F,3.29,MG/L
08/09/2011,18,FEET,72.2,DEGREES F,.19,MG/L
08/09/2011,20,FEET,70.9,DEGREES F,.1,MG/L
08/23/2011,0,FEET,73.8,DEGREES F,8.77,MG/L
08/23/2011,3,FEET,73.9,DEGREES F,8.76,MG/L
08/23/2011,6,FEET,73.9,DEGREES F,8.76,MG/L
08/23/2011,9,FEET,73.9,DEGREES F,8.74,MG/L
08/23/2011,12,FEET,73.9,DEGREES F,8.72,MG/L
08/23/2011,15,FEET,73.9,DEGREES F,8.62,MG/L
08/23/2011,18,FEET,72.5,DEGREES F,6.31,MG/L
08/23/2011,20,FEET,71.3,DEGREES F,.15,MG/L
09/08/2011,0,FEET,71.3,DEGREES F,9.19,MG/L
09/08/2011,3,FEET,70,DEGREES F,9.04,MG/L
09/08/2011,6,FEET,69.6,DEGREES F,8.98,MG/L
09/08/2011,9,FEET,69.4,DEGREES F,8.99,MG/L
09/08/2011,12,FEET,69.2,DEGREES F,9.23,MG/L
09/08/2011,15,FEET,68.9,DEGREES F,9.17,MG/L
04/14/2012,0,FEET,50.4,DEGREES F,10.65,MG/L
04/14/2012,3,FEET,50.2,DEGREES F,10.74,MG/L
04/14/2012,6,FEET,50.1,DEGREES F,10.81,MG/L
04/14/2012,9,FEET,50.1,DEGREES F,10.83,MG/L
05/09/2012,0,FEET,53.4,DEGREES F,9.98,MG/L
05/09/2012,3,FEET,58.1,DEGREES F,10.03,MG/L
05/09/2012,6,FEET,57.9,DEGREES F,10.05,MG/L
05/09/2012,9,FEET,57.8,DEGREES F,10,MG/L
05/09/2012,12,FEET,57.5,DEGREES F,9.82,MG/L
05/09/2012,15,FEET,57.4,DEGREES F,9.83,MG/L
05/09/2012,18,FEET,57.2,DEGREES F,9.85,MG/L
05/25/2012,0,FEET,64.3,DEGREES F,8.31,MG/L
05/25/2012,3,FEET,64.3,DEGREES F,8.28,MG/L
05/25/2012,6,FEET,64.2,DEGREES F,8.26,MG/L
05/25/2012,9,FEET,64.3,DEGREES F,8.24,MG/L
05/25/2012,12,FEET,64.3,DEGREES F,8.24,MG/L
05/25/2012,15,FEET,64.3,DEGREES F,8.23,MG/L
05/25/2012,18,FEET,64.1,DEGREES F,4.71,MG/L
06/07/2012,0,FEET,71,DEGREES F,,
06/07/2012,3,FEET,70.8,DEGREES F,,
06/07/2012,6,FEET,70.8,DEGREES F,,
06/07/2012,9,FEET,70.3,DEGREES F,,
06/07/2012,12,FEET,67.2,DEGREES F,,
06/07/2012,15,FEET,65.3,DEGREES F,,
06/07/2012,18,FEET,64.4,DEGREES F,,
06/07/2012,20,FEET,63.6,DEGREES F,,
06/26/2012,0,FEET,72.9,DEGREES F,9.9,MG/L
06/26/2012,3,FEET,73.3,DEGREES F,9.88,MG/L
06/26/2012,6,FEET,73.3,DEGREES F,9.9,MG/L
06/26/2012,9,FEET,73.3,DEGREES F,9.96,MG/L
06/26/2012,12,FEET,72.3,DEGREES F,10.16,MG/L
06/26/2012,15,FEET,71.6,DEGREES F,8.06,MG/L
06/26/2012,18,FEET,68.1,DEGREES F,1.6,MG/L
06/26/2012,21,FEET,66.4,DEGREES F,.63,MG/L
06/26/2012,24,FEET,65.8,DEGREES F,.1,MG/L
07/05/2012,0,FEET,83.3,DEGREES F,8.81,MG/L
07/05/2012,3,FEET,82.6,DEGREES F,8.61,MG/L
07/05/2012,6,FEET,81.7,DEGREES F,8.75,MG/L
07/05/2012,9,FEET,78.9,DEGREES F,8.98,MG/L
07/05/2012,12,FEET,75.7,DEGREES F,8.07,MG/L
07/05/2012,15,FEET,71.7,DEGREES F,4.84,MG/L
07/05/2012,18,FEET,71.2,DEGREES F,3.45,MG/L
07/30/2012,0,FEET,78.8,DEGREES F,8.67,MG/L
07/30/2012,3,FEET,79,DEGREES F,9.08,MG/L
07/30/2012,6,FEET,79,DEGREES F,9.09,MG/L
07/30/2012,9,FEET,79,DEGREES F,9.08,MG/L
07/30/2012,12,FEET,79,DEGREES F,9.02,MG/L
07/30/2012,15,FEET,77.9,DEGREES F,8.5,MG/L
07/30/2012,18,FEET,75.2,DEGREES F,.14,MG/L
08/14/2012,0,FEET,73,DEGREES F,,
08/14/2012,3,FEET,71.9,DEGREES F,,
08/14/2012,6,FEET,71.6,DEGREES F,,
08/14/2012,9,FEET,71.4,DEGREES F,,
08/14/2012,12,FEET,71.4,DEGREES F,,
08/14/2012,15,FEET,70.8,DEGREES F,,
08/14/2012,18,FEET,70.5,DEGREES F,,
08/26/2012,0,FEET,75.1,DEGREES F,9.84,MG/L
08/26/2012,3,FEET,75.1,DEGREES F,9.87,MG/L
08/26/2012,6,FEET,75,DEGREES F,9.93,MG/L
08/26/2012,9,FEET,74.2,DEGREES F,9.81,MG/L
08/26/2012,12,FEET,72.9,DEGREES F,9.68,MG/L
08/26/2012,15,FEET,72.1,DEGREES F,8.98,MG/L
08/26/2012,18,FEET,70.8,DEGREES F,6.79,MG/L
09/14/2012,0,FEET,66.5,DEGREES F,,
09/14/2012,3,FEET,66,DEGREES F,,
09/14/2012,6,FEET,65.4,DEGREES F,,
09/14/2012,9,FEET,65.3,DEGREES F,,
09/14/2012,12,FEET,65.1,DEGREES F,,
09/14/2012,15,FEET,64.9,DEGREES F,,
09/14/2012,18,FEET,65.6,DEGREES F,,
05/21/2013,0,FEET,60.4,DEGREES F,9.59,MG/L
05/21/2013,3,FEET,60.5,DEGREES F,9.6,MG/L
05/21/2013,6,FEET,60.4,DEGREES F,9.6,MG/L
05/21/2013,9,FEET,57.5,DEGREES F,8.76,MG/L
05/21/2013,12,FEET,53.6,DEGREES F,8.13,MG/L
05/21/2013,15,FEET,51.3,DEGREES F,6.66,MG/L
05/21/2013,18,FEET,50.4,DEGREES F,6.19,MG/L
05/21/2013,21,FEET,48.6,DEGREES F,3.72,MG/L
05/21/2013,23,FEET,47.7,DEGREES F,.2,MG/L
06/12/2013,0,FEET,70,DEGREES F,,
06/12/2013,3,FEET,69.2,DEGREES F,,
06/12/2013,6,FEET,68.3,DEGREES F,,
06/24/2013,0,FEET,72.4,DEGREES F,9.24,MG/L
06/24/2013,3,FEET,73.6,DEGREES F,9.21,MG/L
06/24/2013,6,FEET,72.6,DEGREES F,9.25,MG/L
06/24/2013,9,FEET,72.1,DEGREES F,9.18,MG/L
06/24/2013,12,FEET,71.6,DEGREES F,8.86,MG/L
06/24/2013,15,FEET,69.4,DEGREES F,8.37,MG/L
06/24/2013,18,FEET,63.2,DEGREES F,3.49,MG/L
06/24/2013,21,FEET,57,DEGREES F,.65,MG/L
06/24/2013,23,FEET,56.6,DEGREES F,.1,MG/L
07/10/2013,0,FEET,76.8,DEGREES F,,
07/10/2013,3,FEET,76.1,DEGREES F,,
07/10/2013,6,FEET,75.5,DEGREES F,,
07/10/2013,9,FEET,75.3,DEGREES F,,
07/10/2013,12,FEET,74.4,DEGREES F,,
07/10/2013,15,FEET,71.6,DEGREES F,,
07/10/2013,18,FEET,67.2,DEGREES F,,
07/10/2013,21,FEET,60.2,DEGREES F,,
07/29/2013,0,FEET,70.6,DEGREES F,7.12,MG/L
07/29/2013,3,FEET,69.4,DEGREES F,7.07,MG/L
07/29/2013,6,FEET,68.9,DEGREES F,7.04,MG/L
07/29/2013,9,FEET,68.7,DEGREES F,7,MG/L
07/29/2013,12,FEET,68.5,DEGREES F,6.93,MG/L
07/29/2013,15,FEET,68.4,DEGREES F,7.25,MG/L
07/29/2013,18,FEET,68,DEGREES F,5.77,MG/L
07/29/2013,20,FEET,67.7,DEGREES F,.18,MG/L
