Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Alva Lake,Oneida,968100,NO,44,,443053,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/12/1979,,,,2.21,,,,41,,,,,
8189805,08/17/1989,10.75,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8189805,09/02/1989,10.75,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,09/15/1989,11.25,NO,3.4,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,10/01/1989,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,10/13/1989,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8189805,04/21/1990,8.5,NO,2.6,,,46,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189805,05/03/1990,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,05/21/1990,8.5,NO,2.6,,,46,,,LOW,,,BLUE,2-Very minor aesthetic problems
8189805,06/07/1990,16.75,NO,5.1,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,06/25/1990,14.5,NO,4.4,,,39,,,LOW,,,BLUE,2-Very minor aesthetic problems
8191103,06/09/2003,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/30/2003,21,NO,6.4,1.97,9,33,45,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/16/2003,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/24/2003,22,NO,6.7,1.58,9,33,45,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/08/2003,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/19/2003,20.75,NO,6.3,1.26,8,33,44,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/07/2003,23.75,NO,7.2,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/25/2003,13.75,NO,4.2,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/05/2003,9.5,NO,2.9,,,45,,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,10/14/2003,9.5,NO,2.9,5.13,13,45,48,47,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,10/27/2003,13.25,NO,4,,,40,,,HIGH,27,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,04/28/2004,9.5,NO,2.9,,,45,,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,05/18/2004,13.25,NO,4,,12,40,47,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/10/2004,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/23/2004,20.75,NO,6.3,1.31,10,33,46,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/03/2004,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/15/2004,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/20/2004,19.5,NO,5.9,1.13,8,34,44,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/06/2004,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/25/2004,16.25,NO,4.9,1.94,7,37,43,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/17/2004,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/06/2004,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,10/13/2004,10.25,NO,3.1,,,44,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,10/14/2004,,,,9.88,22,,52,52,,,,,
8191103,11/02/2004,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,04/17/2005,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/24/2005,21.25,NO,6.5,,15,33,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/31/2005,23.5,NO,7.1,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/13/2005,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/22/2005,21.25,NO,6.5,1.13,5,33,41,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/01/2005,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/19/2005,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/25/2005,21.75,NO,6.6,1.1,11,33,47,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/05/2005,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/23/2005,23.5,NO,7.1,2.43,7,32,43,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/15/2005,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/11/2005,14,NO,4.3,11.4,16,39,50,53,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,10/28/2005,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,
8191103,05/02/2006,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/22/2006,21.5,NO,6.5,,18,33,51,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/20/2006,18.5,NO,5.6,3.47,11,35,47,44,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/09/2006,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/04/2006,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/09/2006,20.5,NO,6.2,1.68,10,34,46,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/17/2006,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,09/26/2006,12.75,NO,3.9,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,10/25/2006,13,NO,4,8.06,15,40,49,51,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,04/25/2007,11,NO,3.3,,12,43,47,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8191103,05/18/2007,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/12/2007,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/26/2007,22,NO,6.7,1.08,,33,,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/07/2007,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/24/2007,24.5,NO,7.4,1.96,7,31,43,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/03/2007,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/15/2007,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/22/2007,15.5,NO,4.7,5.8,16,38,50,48,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/03/2007,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/26/2007,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/24/2007,18.5,NO,5.6,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/06/2008,12.5,NO,3.8,,11,41,47,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8191103,05/22/2008,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/24/2008,25,NO,7.6,1.05,8,31,44,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/07/2008,20.75,NO,6.3,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/29/2008,24.25,NO,7.4,0.44,8,31,44,29,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/10/2008,22.75,NO,6.9,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/03/2008,14,NO,4.3,2.96,11,39,47,43,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/15/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/13/2008,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/31/2008,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,05/18/2009,,,,,15,,49,,,,,,
8191103,05/18/2009,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/28/2009,27,NO,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/05/2009,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/23/2009,,,,0.88,13,,48,34,,,,,
8191103,06/23/2009,25.75,NO,7.8,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/07/2009,24.25,NO,7.4,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/20/2009,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,07/27/2009,,,,1.47,8,,44,38,,,,,
8191103,07/27/2009,19.75,NO,6,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/11/2009,21.25,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,09/01/2009,,,,3.31,17,,50,44,,,,,
8191103,09/01/2009,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/10/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,09/24/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/20/2009,7.75,NO,2.4,,,48,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190682,05/10/2010,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,05/17/2010,21.75,NO,6.6,,12,33,47,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,05/31/2010,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/17/2010,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/29/2010,18.25,NO,5.5,1.29,7,35,43,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,07/17/2010,21.75,NO,6.6,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,07/27/2010,19,NO,5.8,1.64,8,35,44,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,08/09/2010,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,08/24/2010,11.75,NO,3.6,3.54,12,42,47,44,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,09/09/2010,6.75,NO,2.1,,,50,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190682,09/27/2010,6.25,NO,1.9,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190682,10/31/2010,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/07/2011,16.25,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/02/2011,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/14/2011,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/20/2011,,,,1.62,9,,45,38,,,,,
8191103,06/20/2011,20.75,NO,6.3,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/27/2011,23.5,NO,7.1,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/19/2011,22,NO,6.7,1.18,9,33,45,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/30/2011,24.25,NO,7.4,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/30/2011,18.5,NO,5.6,2.21,10,35,46,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/11/2011,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/28/2011,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/28/2011,13.75,NO,4.2,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,05/15/2012,22.75,NO,6.9,,13,32,48,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/26/2012,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/25/2012,24,NO,7.3,1.34,10,31,46,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/09/2012,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,07/23/2012,21.25,NO,6.5,0.98,9,33,45,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/02/2012,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/20/2012,9,NO,2.7,6,24,45,53,48,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8191103,09/04/2012,11.5,NO,3.5,,,42,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,09/29/2012,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8191103,11/04/2012,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,05/28/2013,19,NO,5.8,,15,35,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/28/2013,18.5,NO,5.6,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/10/2013,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/24/2013,28.75,NO,8.7,0.738,6.58,29,43,33,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/11/2013,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/23/2013,18,NO,5.5,2.87,7.06,35,43,43,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/07/2013,17.75,NO,5.4,,,36,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8191103,08/20/2013,15.75,NO,4.8,2.02,8.48,37,45,40,LOW,,,BLUE,1-Beautiful, could not be nicer
8191103,09/08/2013,15.25,NO,4.6,,,38,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8191103,09/22/2013,10,NO,3,,,44,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190682,05/07/2014,,,,,19.3,,51,,,,,,
8191103,05/07/2014,10.75,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/08/2014,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/23/2014,,,,2.08,9.63,,46,40,,,,,
8191103,06/23/2014,13.25,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/06/2014,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,07/21/2014,,,,1.22,6.82,,43,36,,,,,
8191103,07/21/2014,18.25,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/07/2014,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,08/25/2014,,,,4.11,8.95,,45,45,,,,,
8191103,08/25/2014,12.25,NO,3.7,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/09/2014,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/30/2014,14.25,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,10/24/2014,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/09/2015,17.75,NO,5.4,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/20/2015,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/19/2015,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/23/2015,,,,3.03,14.5,,49,43,,,,,
8191103,06/23/2015,15.25,NO,4.6,,,38,,,HIGH,,,BLUE,1-Beautiful, could not be nicer
8191103,07/07/2015,12.25,NO,3.7,,,41,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190682,07/20/2015,,,,1.46,9.69,,46,38,,,,,
8191103,07/20/2015,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191103,07/30/2015,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,08/18/2015,,,,1.6,9.03,,45,38,,,,,
8191103,08/18/2015,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/01/2015,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/21/2015,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/07/2015,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/20/2015,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/09/2016,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,06/14/2016,,,,1.6,17.5,,50,38,,,,,
8191103,06/14/2016,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/28/2016,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,07/25/2016,,,,0.618,11,,47,31,,,,,
8191103,07/25/2016,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/05/2016,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,08/29/2016,,,,0.72,12.8,,48,32,,,,,
8191103,08/29/2016,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/02/2016,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,09/29/2016,11.75,NO,3.6,,,42,,,HIGH,,MURKY,BLUE,1-Beautiful, could not be nicer
8191103,10/19/2016,12.5,NO,3.8,,,41,,,HIGH,,MURKY,BLUE,1-Beautiful, could not be nicer
8191103,06/01/2017,9.75,NO,3,,,44,,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems
8191103,06/16/2017,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/27/2017,16.5,NO,5,1.56,12.2,37,48,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/16/2017,15.75,NO,4.8,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/25/2017,14.75,NO,4.5,1.11,12.5,38,48,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/12/2017,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,08/29/2017,21,NO,6.4,0.775,6.21,33,42,33,HIGH,,,BLUE,1-Beautiful, could not be nicer
8191103,09/25/2017,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/06/2017,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/12/1979,,,25,C,,
05/27/1994,3,FEET,62,DEGREES F,,
05/27/1994,35,FEET,49,DEGREES F,,
07/06/1994,3,FEET,75,DEGREES F,,
07/06/1994,36,FEET,54,DEGREES F,,
08/06/1994,3,FEET,70,DEGREES F,,
08/06/1994,37,FEET,53,DEGREES F,,
09/07/1994,3,FEET,64,DEGREES F,,
09/07/1994,37,FEET,57,DEGREES F,,
10/11/1994,3,FEET,56,DEGREES F,,
10/11/1994,6,FEET,56,DEGREES F,,
10/11/1994,9,FEET,56,DEGREES F,,
10/11/1994,15,FEET,56,DEGREES F,,
10/11/1994,20,FEET,56,DEGREES F,,
10/11/1994,25,FEET,56,DEGREES F,,
10/11/1994,30,FEET,56,DEGREES F,,
10/11/1994,35,FEET,56,DEGREES F,,
05/31/1995,3,FEET,62,DEGREES F,,
05/31/1995,6,FEET,59,DEGREES F,,
05/31/1995,9,FEET,59,DEGREES F,,
05/31/1995,12,FEET,58,DEGREES F,,
05/31/1995,15,FEET,57,DEGREES F,,
05/31/1995,20,FEET,57,DEGREES F,,
05/31/1995,25,FEET,52,DEGREES F,,
05/31/1995,30,FEET,47,DEGREES F,,
05/31/1995,35,FEET,44,DEGREES F,,
07/11/1995,3,FEET,71,DEGREES F,,
07/11/1995,6,FEET,71,DEGREES F,,
07/11/1995,9,FEET,71,DEGREES F,,
07/11/1995,12,FEET,70,DEGREES F,,
07/11/1995,15,FEET,69,DEGREES F,,
07/11/1995,20,FEET,67,DEGREES F,,
07/11/1995,25,FEET,60,DEGREES F,,
07/11/1995,30,FEET,57,DEGREES F,,
07/11/1995,35,FEET,52,DEGREES F,,
08/15/1995,3,FEET,76,DEGREES F,,
08/15/1995,6,FEET,76,DEGREES F,,
08/15/1995,9,FEET,76,DEGREES F,,
08/15/1995,12,FEET,76,DEGREES F,,
08/15/1995,15,FEET,76,DEGREES F,,
08/15/1995,20,FEET,75,DEGREES F,,
08/15/1995,25,FEET,66,DEGREES F,,
08/15/1995,30,FEET,63,DEGREES F,,
08/15/1995,35,FEET,53,DEGREES F,,
09/11/1995,3,FEET,65,DEGREES F,,
09/11/1995,6,FEET,65,DEGREES F,,
09/11/1995,9,FEET,65,DEGREES F,,
09/11/1995,12,FEET,65,DEGREES F,,
09/11/1995,15,FEET,65,DEGREES F,,
09/11/1995,20,FEET,65,DEGREES F,,
09/11/1995,25,FEET,64,DEGREES F,,
09/11/1995,30,FEET,57,DEGREES F,,
09/11/1995,35,FEET,53,DEGREES F,,
10/11/1995,3,FEET,57,DEGREES F,,
10/11/1995,6,FEET,56,DEGREES F,,
10/11/1995,9,FEET,56,DEGREES F,,
10/11/1995,12,FEET,56,DEGREES F,,
10/11/1995,15,FEET,56,DEGREES F,,
10/11/1995,20,FEET,56,DEGREES F,,
10/11/1995,25,FEET,56,DEGREES F,,
10/11/1995,30,FEET,55,DEGREES F,,
10/11/1995,35,FEET,55,DEGREES F,,
06/12/1996,3,FEET,69,DEGREES F,,
06/12/1996,6,FEET,66,DEGREES F,,
06/12/1996,9,FEET,64,DEGREES F,,
06/12/1996,12,FEET,63,DEGREES F,,
06/12/1996,15,FEET,60,DEGREES F,,
06/12/1996,20,FEET,58,DEGREES F,,
06/12/1996,25,FEET,54,DEGREES F,,
06/12/1996,30,FEET,46,DEGREES F,,
06/12/1996,35,FEET,46,DEGREES F,,
07/15/1996,3,FEET,69,DEGREES F,,
07/15/1996,6,FEET,68,DEGREES F,,
07/15/1996,9,FEET,67,DEGREES F,,
07/15/1996,12,FEET,68,DEGREES F,,
07/15/1996,15,FEET,68,DEGREES F,,
07/15/1996,20,FEET,64,DEGREES F,,
07/15/1996,25,FEET,60,DEGREES F,,
07/15/1996,30,FEET,56,DEGREES F,,
07/15/1996,35,FEET,48,DEGREES F,,
08/13/1996,3,FEET,74,DEGREES F,,
08/13/1996,6,FEET,75,DEGREES F,,
08/13/1996,9,FEET,74,DEGREES F,,
08/13/1996,12,FEET,74,DEGREES F,,
08/13/1996,15,FEET,73,DEGREES F,,
08/13/1996,20,FEET,64,DEGREES F,,
08/13/1996,25,FEET,60,DEGREES F,,
08/13/1996,30,FEET,54,DEGREES F,,
08/13/1996,35,FEET,49,DEGREES F,,
09/09/1996,3,FEET,73,DEGREES F,,
09/09/1996,6,FEET,74,DEGREES F,,
09/09/1996,9,FEET,74,DEGREES F,,
09/09/1996,12,FEET,74,DEGREES F,,
09/09/1996,15,FEET,74,DEGREES F,,
09/09/1996,20,FEET,68,DEGREES F,,
09/09/1996,25,FEET,63,DEGREES F,,
09/09/1996,30,FEET,58,DEGREES F,,
09/09/1996,35,FEET,57,DEGREES F,,
10/13/1996,3,FEET,54,DEGREES F,,
10/13/1996,6,FEET,54,DEGREES F,,
10/13/1996,9,FEET,53,DEGREES F,,
10/13/1996,12,FEET,53,DEGREES F,,
10/13/1996,15,FEET,53,DEGREES F,,
10/13/1996,20,FEET,53,DEGREES F,,
10/13/1996,25,FEET,53,DEGREES F,,
10/13/1996,30,FEET,52,DEGREES F,,
10/13/1996,35,FEET,52,DEGREES F,,
05/10/1997,3,FEET,47,DEGREES F,,
05/10/1997,6,FEET,46,DEGREES F,,
05/10/1997,9,FEET,46,DEGREES F,,
05/10/1997,12,FEET,46,DEGREES F,,
05/10/1997,15,FEET,46,DEGREES F,,
05/10/1997,20,FEET,45,DEGREES F,,
05/10/1997,25,FEET,45,DEGREES F,,
05/10/1997,30,FEET,45,DEGREES F,,
05/10/1997,35,FEET,45,DEGREES F,,
06/16/1997,3,FEET,67,DEGREES F,,
06/16/1997,6,FEET,67,DEGREES F,,
06/16/1997,9,FEET,67,DEGREES F,,
06/16/1997,12,FEET,66,DEGREES F,,
06/16/1997,15,FEET,63,DEGREES F,,
06/16/1997,20,FEET,58,DEGREES F,,
